company_id,employee_id,ai_tool_id,license_type,assigned_date,expiration_date,license_status
C01,C01-E0244,T02,Enterprise,2025-07-02,2026-07-02,Ativa
C01,C01-E0154,T02,Enterprise,2025-06-05,2026-06-05,Expirada
C01,C01-E0129,T02,Standard,2025-06-30,2026-06-30,Expirada
C01,C01-E0017,T02,Enterprise,2025-06-21,2026-06-21,Expirada
C01,C01-E0331,T02,Enterprise,2025-07-03,2026-07-03,Expirada
C01,C01-E0316,T02,Enterprise,2025-07-04,2026-07-04,Ativa
C01,C01-E0357,T02,Enterprise,2025-06-21,,Ativa
C01,C01-E0070,T02,Standard,2025-07-17,2026-07-17,Expirada
C01,C01-E0177,T02,Professional,2025-06-29,2026-06-29,Expirada
C01,C01-E0308,T02,Enterprise,2025-07-23,2026-07-23,Expirada
C01,C01-E0033,T02,Enterprise,2025-06-09,2026-06-09,Ativa
C01,C01-E0060,T02,Standard,2025-07-30,2026-07-30,Ativa
C01,C01-E0354,T02,Standard,2025-06-27,,Ativa
C01,C01-E0007,T02,Enterprise,2025-06-27,2026-06-27,Expirada
C01,C01-E0330,T02,Professional,2025-06-18,,Ativa
C01,C01-E0256,T02,Enterprise,2025-07-12,,Ativa
C01,C01-E0225,T02,Professional,2025-07-14,2026-07-14,Ativa
C01,C01-E0333,T02,Standard,2025-08-09,2026-08-09,Ativa
C01,C01-E0169,T02,Professional,2025-07-06,,Ativa
C01,C01-E0343,T02,Professional,2025-07-11,2026-07-11,Ativa
C01,C01-E0098,T02,Professional,2025-07-11,2026-07-11,Ativa
C01,C01-E0175,T02,Standard,2025-08-06,,Ativa
C01,C01-E0341,T02,Professional,2025-06-23,,Ativa
C01,C01-E0043,T02,Standard,2025-07-17,2026-07-17,Expirada
C01,C01-E0103,T02,Professional,2025-07-19,2026-07-19,Expirada
C01,C01-E0344,T02,Professional,2025-06-03,2026-06-03,Ativa
C01,C01-E0282,T02,Enterprise,2025-07-18,2026-07-18,Expirada
C01,C01-E0234,T02,Enterprise,2025-07-28,2026-07-28,Expirada
C01,C01-E0205,T02,Standard,2025-06-13,,Ativa
C01,C01-E0329,T02,Professional,2025-06-23,2026-06-23,Expirada
C01,C01-E0128,T02,Enterprise,2025-07-22,2026-07-22,Expirada
C01,C01-E0121,T02,Standard,2025-08-03,2026-08-03,Ativa
C01,C01-E0213,T02,Professional,2025-06-17,2026-06-17,Ativa
C01,C01-E0092,T02,Standard,2025-07-05,2026-07-05,Ativa
C01,C01-E0009,T02,Standard,2025-08-03,,Ativa
C01,C01-E0305,T02,Professional,2025-06-19,2026-06-19,Expirada
C01,C01-E0051,T02,Professional,2025-07-28,,Ativa
C01,C01-E0222,T02,Professional,2025-07-26,2026-07-26,Ativa
C01,C01-E0184,T02,Standard,2025-06-24,,Ativa
C01,C01-E0110,T02,Professional,2025-07-03,2026-07-03,Expirada
C01,C01-E0135,T02,Professional,2025-06-26,2026-06-26,Ativa
C01,C01-E0254,T02,Standard,2025-07-07,2026-07-07,Expirada
C01,C01-E0194,T02,Standard,2025-07-12,2026-07-12,Expirada
C01,C01-E0075,T02,Professional,2025-07-30,2026-07-30,Expirada
C01,C01-E0162,T02,Standard,2025-06-14,,Ativa
C01,C01-E0029,T02,Standard,2025-06-08,2026-06-08,Expirada
C01,C01-E0289,T02,Professional,2025-07-22,2026-07-22,Expirada
C01,C01-E0152,T02,Enterprise,2025-06-30,2026-06-30,Ativa
C01,C01-E0019,T02,Standard,2025-07-19,2026-07-19,Ativa
C01,C01-E0263,T02,Standard,2025-07-07,,Ativa
C01,C01-E0008,T02,Standard,2025-06-25,,Ativa
C01,C01-E0059,T02,Enterprise,2025-07-26,2026-07-26,Expirada
C01,C01-E0321,T02,Enterprise,2025-08-10,2026-08-10,Ativa
C01,C01-E0137,T02,Standard,2025-07-04,2026-07-04,Expirada
C01,C01-E0174,T02,Professional,2025-06-18,,Ativa
C01,C01-E0271,T02,Standard,2025-06-28,2026-06-28,Expirada
C01,C01-E0015,T02,Standard,2025-07-23,2026-07-23,Ativa
C01,C01-E0113,T02,Standard,2025-07-06,2026-07-06,Ativa
C01,C01-E0206,T02,Standard,2025-07-17,,Ativa
C01,C01-E0138,T02,Professional,2025-07-30,2026-07-30,Ativa
C01,C01-E0058,T02,Standard,2025-07-08,2026-07-08,Ativa
C01,C01-E0259,T02,Professional,2025-06-13,2026-06-13,Expirada
C01,C01-E0052,T02,Standard,2025-07-17,,Ativa
C01,C01-E0014,T02,Standard,2025-08-06,,Ativa
C01,C01-E0028,T02,Enterprise,2025-06-28,2026-06-28,Ativa
C01,C01-E0233,T02,Standard,2025-06-18,2026-06-18,Expirada
C01,C01-E0003,T02,Standard,2025-07-03,,Ativa
C01,C01-E0349,T02,Professional,2025-06-30,2026-06-30,Expirada
C01,C01-E0261,T02,Professional,2025-08-01,,Ativa
C01,C01-E0038,T02,Professional,2025-07-13,2026-07-13,Expirada
C01,C01-E0355,T02,Professional,2025-08-11,2026-08-11,Ativa
C01,C01-E0173,T02,Enterprise,2025-06-28,2026-06-28,Ativa
C01,C01-E0150,T02,Professional,2025-07-08,2026-07-08,Expirada
C01,C01-E0027,T02,Professional,2025-07-03,2026-07-03,Ativa
C01,C01-E0011,T02,Enterprise,2025-06-30,2026-06-30,Ativa
C01,C01-E0323,T02,Standard,2025-07-03,2026-07-03,Expirada
C01,C01-E0054,T02,Professional,2025-07-04,2026-07-04,Expirada
C01,C01-E0195,T02,Enterprise,2025-07-06,2026-07-06,Expirada
C01,C01-E0127,T02,Enterprise,2025-07-06,2026-07-06,Ativa
C01,C01-E0196,T02,Professional,2025-06-22,,Ativa
C01,C01-E0072,T02,Standard,2025-07-03,2026-07-03,Ativa
C01,C01-E0302,T02,Enterprise,2025-07-11,2026-07-11,Expirada
C01,C01-E0141,T02,Enterprise,2025-07-02,2026-07-02,Expirada
C01,C01-E0025,T02,Enterprise,2025-06-05,2026-06-05,Expirada
C01,C01-E0356,T02,Enterprise,2025-07-10,,Ativa
C01,C01-E0013,T02,Professional,2025-07-30,2026-07-30,Ativa
C01,C01-E0037,T02,Enterprise,2025-07-16,,Revogada
C01,C01-E0228,T02,Professional,2025-06-08,2026-06-08,Expirada
C01,C01-E0167,T02,Standard,2025-06-17,2026-06-17,Ativa
C01,C01-E0006,T02,Professional,2025-06-29,2026-06-29,Ativa
C01,C01-E0032,T02,Enterprise,2025-07-18,2026-07-18,Expirada
C01,C01-E0124,T02,Professional,2025-07-24,2026-07-24,Ativa
C01,C01-E0172,T02,Standard,2025-07-11,,Ativa
C01,C01-E0214,T02,Enterprise,2025-08-01,,Ativa
C01,C01-E0079,T02,Standard,2025-07-01,2026-07-01,Expirada
C01,C01-E0104,T02,Enterprise,2025-06-20,,Ativa
C01,C01-E0273,T02,Enterprise,2025-07-15,2026-07-15,Expirada
C01,C01-E0077,T02,Professional,2025-08-01,2026-08-01,Ativa
C01,C01-E0210,T02,Enterprise,2025-07-29,2026-07-29,Ativa
C01,C01-E0363,T02,Professional,2025-08-05,2026-08-05,Expirada
C01,C01-E0250,T02,Standard,2025-06-11,,Ativa
C01,C01-E0105,T02,Standard,2025-06-05,2026-06-05,Expirada
C01,C01-E0218,T02,Enterprise,2025-06-29,,Ativa
C01,C01-E0030,T02,Enterprise,2025-07-16,,Ativa
C01,C01-E0149,T02,Professional,2025-08-01,,Ativa
C01,C01-E0265,T02,Professional,2025-07-24,,Ativa
C01,C01-E0286,T02,Standard,2025-06-08,,Ativa
C01,C01-E0031,T02,Professional,2025-08-07,2026-08-07,Expirada
C01,C01-E0358,T02,Enterprise,2025-06-17,2026-06-17,Expirada
C01,C01-E0100,T02,Professional,2025-06-20,,Ativa
C01,C01-E0288,T02,Enterprise,2025-06-23,,Revogada
C01,C01-E0083,T02,Professional,2025-08-12,2026-08-12,Ativa
C01,C01-E0362,T02,Enterprise,2025-07-29,2026-07-29,Expirada
C01,C01-E0292,T02,Standard,2025-07-29,2026-07-29,Expirada
C01,C01-E0258,T02,Enterprise,2025-07-11,2026-07-11,Expirada
C01,C01-E0004,T02,Professional,2025-08-02,2026-08-02,Expirada
C01,C01-E0085,T02,Standard,2025-07-23,,Ativa
C01,C01-E0216,T02,Standard,2025-07-20,2026-07-20,Ativa
C01,C01-E0272,T02,Professional,2025-07-20,2026-07-20,Expirada
C01,C01-E0117,T02,Enterprise,2025-07-05,2026-07-05,Ativa
C01,C01-E0151,T02,Standard,2025-07-10,2026-07-10,Expirada
C01,C01-E0078,T02,Professional,2025-06-24,2026-06-24,Expirada
C01,C01-E0139,T02,Standard,2025-07-10,,Ativa
C01,C01-E0181,T02,Enterprise,2025-08-01,2026-08-01,Expirada
C01,C01-E0249,T02,Standard,2025-08-12,2026-08-12,Ativa
C01,C01-E0313,T02,Professional,2025-07-17,2026-07-17,Expirada
C01,C01-E0241,T02,Professional,2025-07-27,2026-07-27,Expirada
C01,C01-E0115,T02,Standard,2025-07-26,2026-07-26,Expirada
C01,C01-E0318,T02,Enterprise,2025-07-03,,Ativa
C01,C01-E0170,T02,Standard,2025-07-15,2026-07-15,Ativa
C01,C01-E0179,T02,Standard,2025-06-17,2026-06-17,Expirada
C01,C01-E0311,T02,Professional,2025-07-22,2026-07-22,Expirada
C01,C01-E0045,T02,Standard,2025-06-25,,Ativa
C01,C01-E0166,T02,Professional,2025-06-23,2026-06-23,Ativa
C01,C01-E0281,T02,Enterprise,2025-07-02,,Ativa
C01,C01-E0208,T02,Standard,2025-06-06,2026-06-06,Expirada
C01,C01-E0094,T02,Standard,2025-07-04,,Ativa
C01,C01-E0183,T02,Professional,2025-07-02,2026-07-02,Expirada
C01,C01-E0291,T02,Enterprise,2025-06-27,2026-06-27,Expirada
C01,C01-E0247,T02,Enterprise,2025-06-18,2026-06-18,Ativa
C01,C01-E0002,T02,Standard,2025-08-01,,Ativa
C01,C01-E0191,T02,Standard,2025-07-28,2026-07-28,Expirada
C01,C01-E0339,T02,Standard,2025-07-13,2026-07-13,Expirada
C01,C01-E0112,T02,Standard,2025-08-01,,Ativa
C01,C01-E0336,T02,Standard,2025-07-16,,Ativa
C01,C01-E0353,T02,Professional,2025-07-23,,Ativa
C01,C01-E0171,T02,Professional,2025-07-21,2026-07-21,Expirada
C01,C01-E0111,T02,Professional,2025-06-30,,Ativa
C01,C01-E0188,T02,Standard,2025-06-19,,Ativa
C01,C01-E0142,T02,Standard,2025-07-11,2026-07-11,Ativa
C01,C01-E0053,T02,Enterprise,2025-07-08,2026-07-08,Ativa
C01,C01-E0312,T02,Enterprise,2025-06-11,,Ativa
C01,C01-E0084,T02,Enterprise,2025-07-21,2026-07-21,Expirada
C01,C01-E0260,T02,Enterprise,2025-06-17,2026-06-17,Expirada
C01,C01-E0050,T02,Professional,2025-06-28,,Revogada
C01,C01-E0235,T02,Enterprise,2025-07-10,2026-07-10,Expirada
C01,C01-E0230,T02,Standard,2025-08-08,2026-08-08,Expirada
C01,C01-E0223,T02,Enterprise,2025-06-24,2026-06-24,Expirada
C01,C01-E0328,T02,Standard,2025-07-29,2026-07-29,Ativa
C01,C01-E0297,T02,Standard,2025-07-01,2026-07-01,Expirada
C01,C01-E0262,T02,Standard,2025-06-17,2026-06-17,Expirada
C01,C01-E0056,T02,Enterprise,2025-08-02,,Ativa
C01,C01-E0237,T02,Enterprise,2025-07-12,2026-07-12,Ativa
C01,C01-E0197,T02,Professional,2025-08-01,2026-08-01,Ativa
C01,C01-E0185,T02,Professional,2025-07-26,2026-07-26,Ativa
C01,C01-E0026,T02,Standard,2025-07-14,2026-07-14,Expirada
C01,C01-E0227,T02,Enterprise,2025-07-14,2026-07-14,Expirada
C01,C01-E0295,T02,Professional,2025-07-09,2026-07-09,Ativa
C01,C01-E0055,T02,Enterprise,2025-07-04,2026-07-04,Expirada
C01,C01-E0158,T02,Enterprise,2025-08-04,2026-08-04,Ativa
C01,C01-E0120,T02,Standard,2025-07-23,2026-07-23,Ativa
C01,C01-E0067,T02,Enterprise,2025-07-18,,Ativa
C01,C01-E0144,T02,Enterprise,2025-07-05,2026-07-05,Expirada
C01,C01-E0278,T02,Enterprise,2025-07-07,2026-07-07,Ativa
C01,C01-E0283,T02,Enterprise,2025-06-23,,Ativa
C01,C01-E0130,T02,Enterprise,2025-07-13,2026-07-13,Expirada
C01,C01-E0080,T02,Enterprise,2025-06-07,,Ativa
C01,C01-E0324,T02,Professional,2025-07-05,,Ativa
C01,C01-E0022,T02,Standard,2025-07-21,2026-07-21,Expirada
C01,C01-E0231,T02,Professional,2025-06-27,2026-06-27,Expirada
C01,C01-E0309,T02,Standard,2025-07-23,2026-07-23,Expirada
C01,C01-E0207,T02,Professional,2025-08-05,2026-08-05,Ativa
C01,C01-E0248,T02,Professional,2025-07-16,2026-07-16,Ativa
C01,C01-E0200,T02,Enterprise,2025-06-26,2026-06-26,Ativa
C01,C01-E0361,T02,Enterprise,2025-08-03,2026-08-03,Expirada
C01,C01-E0182,T02,Standard,2025-07-26,2026-07-26,Expirada
C01,C01-E0275,T02,Enterprise,2025-07-01,,Revogada
C01,C01-E0310,T02,Professional,2025-08-01,,Ativa
C01,C01-E0255,T02,Enterprise,2025-07-02,,Ativa
C01,C01-E0193,T02,Professional,2025-07-01,2026-07-01,Expirada
C01,C01-E0132,T02,Professional,2025-06-21,,Ativa
C01,C01-E0246,T02,Standard,2025-07-23,,Ativa
C01,C01-E0147,T02,Professional,2025-06-22,2026-06-22,Expirada
C01,C01-E0041,T02,Professional,2025-06-26,2026-06-26,Ativa
C01,C01-E0018,T02,Professional,2025-07-24,2026-07-24,Expirada
C01,C01-E0095,T02,Enterprise,2025-07-14,2026-07-14,Expirada
C01,C01-E0061,T02,Professional,2025-07-12,2026-07-12,Ativa
C01,C01-E0187,T02,Standard,2025-07-20,2026-07-20,Ativa
C01,C01-E0153,T02,Professional,2025-06-25,2026-06-25,Expirada
C01,C01-E0087,T02,Enterprise,2025-07-20,2026-07-20,Expirada
C01,C01-E0212,T02,Professional,2025-07-18,,Ativa
C01,C01-E0211,T02,Professional,2025-06-12,2026-06-12,Ativa
C01,C01-E0001,T02,Professional,2025-07-07,2026-07-07,Ativa
C01,C01-E0011,T09,Enterprise,2025-07-18,,Ativa
C01,C01-E0171,T09,Professional,2025-06-12,2026-06-12,Expirada
C01,C01-E0281,T09,Standard,2025-06-28,2026-06-28,Ativa
C01,C01-E0207,T09,Professional,2025-07-12,2026-07-12,Ativa
C01,C01-E0212,T09,Enterprise,2025-07-17,,Ativa
C01,C01-E0097,T09,Professional,2025-06-16,,Ativa
C01,C01-E0179,T09,Enterprise,2025-06-05,2026-06-05,Expirada
C01,C01-E0265,T09,Professional,2025-07-16,2026-07-16,Expirada
C01,C01-E0144,T09,Enterprise,2025-07-20,2026-07-20,Ativa
C01,C01-E0332,T09,Standard,2025-08-04,,Ativa
C01,C01-E0280,T09,Professional,2025-07-27,2026-07-27,Ativa
C01,C01-E0141,T09,Enterprise,2025-07-20,,Ativa
C01,C01-E0351,T09,Enterprise,2025-06-16,2026-06-16,Expirada
C01,C01-E0340,T09,Professional,2025-07-16,2026-07-16,Expirada
C01,C01-E0240,T09,Enterprise,2025-07-15,,Ativa
C01,C01-E0244,T09,Enterprise,2025-07-27,2026-07-27,Ativa
C01,C01-E0293,T09,Enterprise,2025-06-13,2026-06-13,Expirada
C01,C01-E0226,T09,Enterprise,2025-08-05,2026-08-05,Expirada
C01,C01-E0302,T09,Standard,2025-07-15,2026-07-15,Expirada
C01,C01-E0276,T09,Standard,2025-07-24,2026-07-24,Expirada
C01,C01-E0057,T09,Professional,2025-07-22,,Revogada
C01,C01-E0025,T09,Enterprise,2025-06-18,,Ativa
C01,C01-E0336,T09,Standard,2025-06-07,,Ativa
C01,C01-E0317,T09,Enterprise,2025-07-23,2026-07-23,Expirada
C01,C01-E0267,T09,Enterprise,2025-06-20,2026-06-20,Expirada
C01,C01-E0069,T09,Professional,2025-07-06,2026-07-06,Ativa
C01,C01-E0017,T09,Standard,2025-06-29,2026-06-29,Expirada
C01,C01-E0101,T09,Professional,2025-06-15,2026-06-15,Expirada
C01,C01-E0273,T09,Standard,2025-06-29,,Revogada
C01,C01-E0189,T09,Standard,2025-06-28,,Ativa
C01,C01-E0229,T09,Professional,2025-06-14,,Ativa
C01,C01-E0151,T09,Professional,2025-07-02,,Ativa
C01,C01-E0344,T09,Professional,2025-06-07,2026-06-07,Expirada
C01,C01-E0297,T09,Professional,2025-06-19,2026-06-19,Expirada
C01,C01-E0098,T09,Standard,2025-07-19,,Ativa
C01,C01-E0327,T09,Enterprise,2025-06-14,,Ativa
C01,C01-E0027,T09,Enterprise,2025-07-04,2026-07-04,Expirada
C01,C01-E0007,T09,Professional,2025-06-20,,Ativa
C01,C01-E0292,T09,Professional,2025-07-20,2026-07-20,Expirada
C01,C01-E0114,T09,Standard,2025-06-27,2026-06-27,Ativa
C01,C01-E0085,T09,Enterprise,2025-07-14,2026-07-14,Ativa
C01,C01-E0158,T09,Enterprise,2025-06-19,2026-06-19,Expirada
C01,C01-E0109,T09,Professional,2025-07-04,2026-07-04,Expirada
C01,C01-E0043,T09,Enterprise,2025-06-20,2026-06-20,Ativa
C01,C01-E0218,T09,Standard,2025-06-16,2026-06-16,Ativa
C01,C01-E0203,T09,Professional,2025-07-11,2026-07-11,Expirada
C01,C01-E0324,T09,Standard,2025-08-04,2026-08-04,Expirada
C01,C01-E0199,T09,Enterprise,2025-07-26,2026-07-26,Expirada
C01,C01-E0182,T09,Standard,2025-07-21,2026-07-21,Expirada
C01,C01-E0183,T09,Professional,2025-07-02,,Revogada
C01,C01-E0140,T09,Professional,2025-08-09,2026-08-09,Ativa
C01,C01-E0005,T09,Enterprise,2025-08-06,,Ativa
C01,C01-E0161,T09,Enterprise,2025-06-12,,Ativa
C01,C01-E0360,T09,Professional,2025-06-23,2026-06-23,Expirada
C01,C01-E0284,T09,Enterprise,2025-06-30,2026-06-30,Ativa
C01,C01-E0008,T09,Standard,2025-07-05,2026-07-05,Expirada
C01,C01-E0254,T09,Professional,2025-07-22,2026-07-22,Expirada
C01,C01-E0155,T09,Enterprise,2025-08-11,2026-08-11,Ativa
C01,C01-E0313,T09,Standard,2025-07-24,2026-07-24,Expirada
C01,C01-E0012,T09,Professional,2025-07-12,2026-07-12,Expirada
C01,C01-E0188,T09,Enterprise,2025-07-11,,Ativa
C01,C01-E0081,T09,Enterprise,2025-07-16,2026-07-16,Ativa
C01,C01-E0080,T09,Enterprise,2025-06-16,2026-06-16,Ativa
C01,C01-E0339,T09,Enterprise,2025-07-02,2026-07-02,Expirada
C01,C01-E0018,T09,Enterprise,2025-07-24,2026-07-24,Ativa
C01,C01-E0175,T09,Enterprise,2025-07-14,2026-07-14,Expirada
C01,C01-E0204,T09,Standard,2025-07-13,2026-07-13,Expirada
C01,C01-E0100,T09,Professional,2025-07-06,2026-07-06,Ativa
C01,C01-E0289,T09,Enterprise,2025-06-24,2026-06-24,Expirada
C01,C01-E0132,T09,Standard,2025-06-08,2026-06-08,Expirada
C01,C01-E0253,T09,Standard,2025-06-15,,Ativa
C01,C01-E0142,T09,Enterprise,2025-07-12,2026-07-12,Ativa
C01,C01-E0245,T09,Enterprise,2025-06-24,,Ativa
C01,C01-E0193,T09,Standard,2025-07-10,2026-07-10,Expirada
C01,C01-E0198,T09,Standard,2025-07-09,2026-07-09,Expirada
C01,C01-E0073,T09,Enterprise,2025-07-10,2026-07-10,Expirada
C01,C01-E0222,T09,Enterprise,2025-07-03,,Ativa
C01,C01-E0359,T09,Enterprise,2025-06-20,2026-06-20,Expirada
C01,C01-E0153,T09,Standard,2025-07-18,,Ativa
C01,C01-E0237,T09,Enterprise,2025-07-28,2026-07-28,Expirada
C01,C01-E0294,T09,Standard,2025-06-30,,Ativa
C01,C01-E0126,T09,Enterprise,2025-06-28,,Ativa
C01,C01-E0127,T09,Enterprise,2025-07-12,2026-07-12,Expirada
C01,C01-E0196,T09,Enterprise,2025-07-13,,Revogada
C01,C01-E0115,T09,Enterprise,2025-07-15,2026-07-15,Expirada
C01,C01-E0315,T09,Professional,2025-07-22,2026-07-22,Ativa
C01,C01-E0071,T09,Enterprise,2025-06-28,2026-06-28,Ativa
C01,C01-E0316,T09,Professional,2025-06-22,2026-06-22,Ativa
C01,C01-E0035,T09,Professional,2025-06-16,2026-06-16,Expirada
C01,C01-E0270,T09,Standard,2025-07-09,2026-07-09,Ativa
C01,C01-E0001,T09,Professional,2025-07-13,,Ativa
C01,C01-E0042,T09,Professional,2025-07-16,2026-07-16,Expirada
C01,C01-E0206,T09,Enterprise,2025-06-28,,Ativa
C01,C01-E0227,T09,Standard,2025-06-27,2026-06-27,Expirada
C01,C01-E0355,T09,Standard,2025-07-20,2026-07-20,Expirada
C01,C01-E0214,T09,Standard,2025-06-17,2026-06-17,Expirada
C01,C01-E0363,T09,Professional,2025-07-31,,Ativa
C01,C01-E0269,T09,Enterprise,2025-06-15,2026-06-15,Ativa
C01,C01-E0084,T09,Standard,2025-07-21,2026-07-21,Expirada
C01,C01-E0066,T09,Professional,2025-07-04,,Ativa
C01,C01-E0068,T09,Enterprise,2025-06-30,2026-06-30,Ativa
C01,C01-E0165,T09,Enterprise,2025-07-11,2026-07-11,Expirada
C01,C01-E0029,T09,Enterprise,2025-07-18,2026-07-18,Ativa
C01,C01-E0335,T09,Standard,2025-07-22,,Revogada
C01,C01-E0040,T09,Enterprise,2025-07-02,2026-07-02,Expirada
C01,C01-E0248,T09,Professional,2025-06-11,,Ativa
C01,C01-E0105,T09,Professional,2025-06-21,2026-06-21,Ativa
C01,C01-E0238,T09,Enterprise,2025-06-09,2026-06-09,Ativa
C01,C01-E0325,T09,Professional,2025-06-20,2026-06-20,Ativa
C01,C01-E0167,T09,Standard,2025-07-13,2026-07-13,Expirada
C01,C01-E0045,T09,Enterprise,2025-08-05,2026-08-05,Ativa
C01,C01-E0187,T09,Professional,2025-06-30,2026-06-30,Expirada
C01,C01-E0159,T09,Professional,2025-08-07,2026-08-07,Expirada
C01,C01-E0091,T09,Professional,2025-08-03,2026-08-03,Expirada
C01,C01-E0250,T09,Standard,2025-07-08,2026-07-08,Expirada
C01,C01-E0310,T09,Standard,2025-06-04,2026-06-04,Ativa
C01,C01-E0154,T09,Standard,2025-07-01,2026-07-01,Ativa
C01,C01-E0130,T09,Professional,2025-07-23,,Ativa
C01,C01-E0274,T09,Standard,2025-07-25,2026-07-25,Expirada
C01,C01-E0343,T09,Professional,2025-06-07,,Ativa
C01,C01-E0049,T09,Enterprise,2025-07-16,2026-07-16,Ativa
C01,C01-E0006,T09,Enterprise,2025-07-17,2026-07-17,Expirada
C01,C01-E0054,T09,Professional,2025-07-04,,Revogada
C01,C01-E0093,T09,Standard,2025-07-11,,Ativa
C01,C01-E0050,T09,Standard,2025-07-24,2026-07-24,Ativa
C01,C01-E0286,T09,Enterprise,2025-06-17,2026-06-17,Expirada
C01,C01-E0275,T09,Standard,2025-07-01,2026-07-01,Ativa
C01,C01-E0157,T09,Standard,2025-07-17,2026-07-17,Ativa
C01,C01-E0125,T09,Enterprise,2025-06-23,2026-06-23,Expirada
C01,C01-E0078,T09,Professional,2025-07-22,2026-07-22,Ativa
C01,C01-E0092,T09,Professional,2025-08-04,2026-08-04,Expirada
C01,C01-E0301,T09,Standard,2025-07-09,2026-07-09,Expirada
C01,C01-E0322,T09,Standard,2025-07-03,2026-07-03,Ativa
