employee_id,company_id,department_id,job_role,seniority,hire_date,cost_center,active
C01-E0031,C01,C01-D05,Analista de Dados,Pleno,2023-07-01,CC-C01-D05,True
C01-E0032,C01,C01-D01,Engenheiro(a) de Software,Senior,2021-01-30,CC-C01-D01,True
C01-E0033,C01,C01-D01,Desenvolvedor(a) Full Stack,Senior,2024-11-19,CC-C01-D01,False
C01-E0034,C01,C01-D10,Analista Financeiro,Especialista,2023-04-05,CC-C01-D10,True
C01-E0035,C01,C01-D10,Analista Financeiro,Junior,2025-03-19,CC-C01-D10,True
C01-E0036,C01,C01-D08,Analista de Suporte,Gerente,2021-09-03,CC-C01-D08,True
C01-E0037,C01,C01-D02,Site Reliability Engineer,Pleno,2025-09-24,CC-C01-D02,True
C01-E0038,C01,C01-D01,Engenheiro(a) de Software,Senior,2023-02-24,CC-C01-D01,False
C01-E0039,C01,C01-D06,Coordenador(a) de Vendas,Pleno,2026-04-25,CC-C01-D06,True
C01-E0040,C01,C01-D03,Product Manager,Gerente,2022-04-17,CC-C01-D03,True
C01-E0041,C01,C01-D01,Desenvolvedor(a) Full Stack,Senior,2021-10-21,CC-C01-D01,True
C01-E0042,C01,C01-D04,Analista de QA,Pleno,2023-02-25,CC-C01-D04,True
C01-E0043,C01,C01-D01,Engenheiro(a) de Software,Senior,2026-02-05,CC-C01-D01,True
C01-E0044,C01,C01-D09,Recrutador(a),Junior,2023-06-29,CC-C01-D09,True
C01-E0045,C01,C01-D01,Desenvolvedor(a) Frontend,Pleno,2020-10-01,CC-C01-D01,True
C01-E0046,C01,C01-D06,Coordenador(a) de Vendas,Pleno,2023-02-05,CC-C01-D06,True
C01-E0047,C01,C01-D02,Site Reliability Engineer,Pleno,2024-03-19,CC-C01-D02,True
C01-E0048,C01,C01-D04,Analista de QA,Pleno,2026-06-09,CC-C01-D04,True
C01-E0049,C01,C01-D04,Engenheiro(a) de Testes,Especialista,2026-01-03,CC-C01-D04,True
C01-E0050,C01,C01-D01,Desenvolvedor(a) Full Stack,Pleno,2022-12-30,CC-C01-D01,False
C01-E0051,C01,C01-D10,Analista Financeiro,Pleno,2025-07-24,CC-C01-D10,True
C01-E0052,C01,C01-D07,Coordenador(a) de Marketing,Junior,2025-09-01,CC-C01-D07,True
C01-E0053,C01,C01-D09,Recrutador(a),Senior,2021-10-27,CC-C01-D09,True
C01-E0054,C01,C01-D08,Especialista em Atendimento,Senior,2020-10-21,CC-C01-D08,True
C01-E0055,C01,C01-D05,Engenheiro(a) de Dados,Junior,2021-09-12,CC-C01-D05,True
C01-E0056,C01,C01-D09,Recrutador(a),Junior,2024-03-10,CC-C01-D09,True
C01-E0057,C01,C01-D01,Engenheiro(a) de Software,Pleno,2022-04-04,CC-C01-D01,True
C01-E0058,C01,C01-D01,Engenheiro(a) de Software,Pleno,2025-02-01,CC-C01-D01,True
C01-E0059,C01,C01-D01,Desenvolvedor(a) Backend,Especialista,2024-03-21,CC-C01-D01,True
C01-E0060,C01,C01-D02,Site Reliability Engineer,Junior,2023-11-12,CC-C01-D02,True
C01-E0061,C01,C01-D03,Product Manager,Pleno,2025-08-25,CC-C01-D03,True
C01-E0062,C01,C01-D01,Desenvolvedor(a) Backend,Junior,2023-11-17,CC-C01-D01,True
C01-E0063,C01,C01-D08,Analista de Suporte,Especialista,2021-04-18,CC-C01-D08,True
C01-E0064,C01,C01-D02,Site Reliability Engineer,Pleno,2023-10-11,CC-C01-D02,True
C01-E0065,C01,C01-D01,Engenheiro(a) de Software,Pleno,2024-01-16,CC-C01-D01,True
C01-E0066,C01,C01-D04,Engenheiro(a) de Testes,Junior,2023-09-20,CC-C01-D04,True
C01-E0067,C01,C01-D01,Engenheiro(a) de Software,Senior,2025-01-18,CC-C01-D01,True
C01-E0068,C01,C01-D08,Especialista em Atendimento,Pleno,2022-06-21,CC-C01-D08,True
C01-E0069,C01,C01-D01,Engenheiro(a) de Software,Junior,2025-11-02,CC-C01-D01,True
C01-E0070,C01,C01-D11,Analista Juridico,Pleno,2025-10-06,CC-C01-D11,False
C01-E0071,C01,C01-D07,Coordenador(a) de Marketing,Junior,2025-03-21,CC-C01-D07,True
C01-E0072,C01,C01-D01,Desenvolvedor(a) Frontend,Junior,2021-05-31,CC-C01-D01,True
C01-E0073,C01,C01-D01,Desenvolvedor(a) Frontend,Especialista,2024-07-21,CC-C01-D01,True
C01-E0074,C01,C01-D08,Analista de Suporte,Junior,2021-06-22,CC-C01-D08,True
C01-E0075,C01,C01-D06,Coordenador(a) de Vendas,Senior,2025-07-26,CC-C01-D06,True
C01-E0076,C01,C01-D06,Coordenador(a) de Vendas,Especialista,2021-06-05,,True
C01-E0077,C01,C01-D07,Analista de Marketing,Junior,2023-10-17,CC-C01-D07,True
C01-E0078,C01,C01-D01,Engenheiro(a) de Software,Pleno,2021-01-17,CC-C01-D01,True
C01-E0079,C01,C01-D02,Engenheiro(a) de Infraestrutura,Pleno,2025-10-14,CC-C01-D02,True
C01-E0080,C01,C01-D01,Desenvolvedor(a) Backend,Pleno,2022-01-24,CC-C01-D01,True
C01-E0081,C01,C01-D08,Especialista em Atendimento,Junior,2023-03-31,CC-C01-D08,True
C01-E0082,C01,C01-D05,Cientista de Dados,Senior,2021-09-21,CC-C01-D05,True
C01-E0083,C01,C01-D02,Site Reliability Engineer,Pleno,2020-12-26,CC-C01-D02,True
C01-E0084,C01,C01-D01,Desenvolvedor(a) Full Stack,Junior,2024-01-02,CC-C01-D01,True
C01-E0085,C01,C01-D02,Site Reliability Engineer,Senior,2021-12-28,CC-C01-D02,True
C01-E0086,C01,C01-D02,Site Reliability Engineer,Junior,2022-12-05,CC-C01-D02,True
C01-E0087,C01,C01-D06,Coordenador(a) de Vendas,Pleno,2021-02-05,CC-C01-D06,True
C01-E0088,C01,C01-D06,Coordenador(a) de Vendas,Pleno,2024-09-05,CC-C01-D06,True
C01-E0089,C01,C01-D08,Analista de Suporte,Pleno,2024-05-11,CC-C01-D08,True
C01-E0090,C01,C01-D04,Analista de QA,Pleno,2023-10-22,CC-C01-D04,True
C01-E0091,C01,C01-D01,Desenvolvedor(a) Frontend,Pleno,2025-12-31,CC-C01-D01,True
C01-E0092,C01,C01-D06,Representante Comercial,Junior,2022-11-24,CC-C01-D06,True
C01-E0093,C01,C01-D07,Analista de Marketing,Pleno,2022-12-03,CC-C01-D07,True
C01-E0094,C01,C01-D05,Engenheiro(a) de Dados,Junior,2024-12-22,CC-C01-D05,True
C01-E0095,C01,C01-D07,Coordenador(a) de Marketing,Pleno,2021-04-26,CC-C01-D07,True
C01-E0096,C01,C01-D04,Analista de QA,Junior,2026-05-04,CC-C01-D04,True
C01-E0097,C01,C01-D04,Analista de QA,Pleno,2025-08-15,CC-C01-D04,True
C01-E0098,C01,C01-D03,Analista de Produto,Senior,2024-08-17,CC-C01-D03,True
C01-E0099,C01,C01-D01,Desenvolvedor(a) Full Stack,Pleno,2025-09-03,CC-C01-D01,True
C01-E0100,C01,C01-D01,Desenvolvedor(a) Full Stack,Pleno,2023-04-01,CC-C01-D01,True
C01-E0101,C01,C01-D01,Desenvolvedor(a) Full Stack,Especialista,2022-09-08,CC-C01-D01,True
C01-E0102,C01,C01-D06,Coordenador(a) de Vendas,Junior,2026-05-10,CC-C01-D06,True
C01-E0103,C01,C01-D02,Site Reliability Engineer,Pleno,2023-02-01,CC-C01-D02,True
C01-E0104,C01,C01-D04,Analista de QA,Pleno,2024-12-08,CC-C01-D04,True
C01-E0105,C01,C01-D09,Analista de RH,Senior,2021-12-14,CC-C01-D09,False
C01-E0106,C01,C01-D01,Desenvolvedor(a) Full Stack,Gerente,2024-07-14,CC-C01-D01,True
C01-E0107,C01,C01-D03,Analista de Produto,Especialista,2024-03-11,CC-C01-D03,True
C01-E0108,C01,C01-D07,Especialista em Midias Digitais,Junior,2023-06-26,CC-C01-D07,True
C01-E0109,C01,C01-D01,Desenvolvedor(a) Full Stack,Junior,2025-11-15,CC-C01-D01,True
C01-E0110,C01,C01-D01,Engenheiro(a) de Software,Pleno,2023-05-05,CC-C01-D01,True
C01-E0111,C01,C01-D01,Desenvolvedor(a) Full Stack,Pleno,2024-12-23,CC-C01-D01,True
C01-E0112,C01,C01-D01,Desenvolvedor(a) Full Stack,Pleno,2024-08-19,CC-C01-D01,True
C01-E0113,C01,C01-D09,Recrutador(a),Pleno,2021-08-25,CC-C01-D09,True
C01-E0114,C01,C01-D08,Analista de Suporte,Junior,2025-08-07,CC-C01-D08,True
C01-E0115,C01,C01-D06,Coordenador(a) de Vendas,Gerente,2021-01-17,CC-C01-D06,True
C01-E0116,C01,C01-D08,Analista de Suporte,Junior,2022-04-21,CC-C01-D08,True
C01-E0117,C01,C01-D08,Analista de Suporte,Junior,2021-08-16,CC-C01-D08,True
C01-E0118,C01,C01-D01,Desenvolvedor(a) Full Stack,Senior,2024-01-27,CC-C01-D01,True
C01-E0119,C01,C01-D08,Analista de Suporte,Pleno,2022-06-07,CC-C01-D08,True
C01-E0120,C01,C01-D04,Analista de QA,Senior,2022-05-18,CC-C01-D04,False
C01-E0121,C01,C01-D08,Especialista em Atendimento,Junior,2024-09-16,CC-C01-D08,True
C01-E0122,C01,C01-D08,Analista de Suporte,Senior,2021-04-08,CC-C01-D08,True
C01-E0123,C01,C01-D02,Engenheiro(a) DevOps,Junior,2021-10-27,CC-C01-D02,True
C01-E0124,C01,C01-D01,Desenvolvedor(a) Full Stack,Senior,2021-09-23,CC-C01-D01,True
C01-E0125,C01,C01-D01,Desenvolvedor(a) Frontend,Junior,2023-06-15,CC-C01-D01,True
C01-E0126,C01,C01-D03,Analista de Produto,Senior,2025-07-05,CC-C01-D03,True
C01-E0127,C01,C01-D08,Analista de Suporte,Especialista,2021-04-20,CC-C01-D08,True
C01-E0128,C01,C01-D08,Analista de Suporte,Senior,2021-07-15,CC-C01-D08,True
C01-E0129,C01,C01-D01,Desenvolvedor(a) Full Stack,Pleno,2023-01-08,CC-C01-D01,True
C01-E0130,C01,C01-D04,Analista de QA,Pleno,2023-12-11,CC-C01-D04,True
C01-E0131,C01,C01-D03,Product Manager,Especialista,2023-11-18,CC-C01-D03,True
C01-E0132,C01,C01-D01,Desenvolvedor(a) Backend,Pleno,2023-04-25,CC-C01-D01,True
C01-E0133,C01,C01-D01,Engenheiro(a) de Software,Pleno,2022-09-24,CC-C01-D01,True
C01-E0134,C01,C01-D02,Engenheiro(a) DevOps,Gerente,2021-03-13,CC-C01-D02,True
C01-E0135,C01,C01-D10,Analista Financeiro,Junior,2023-06-20,CC-C01-D10,True
C01-E0136,C01,C01-D02,Site Reliability Engineer,Senior,2023-09-06,CC-C01-D02,True
C01-E0137,C01,C01-D04,Engenheiro(a) de Testes,Junior,2021-07-20,CC-C01-D04,True
C01-E0138,C01,C01-D06,Coordenador(a) de Vendas,Junior,2025-02-23,CC-C01-D06,True
C01-E0139,C01,C01-D02,Site Reliability Engineer,Pleno,2024-04-24,CC-C01-D02,True
C01-E0140,C01,C01-D10,Analista de Contas a Pagar,Junior,2021-07-21,,True
C01-E0141,C01,C01-D10,Analista de Contas a Pagar,Pleno,2024-03-26,CC-C01-D10,True
C01-E0142,C01,C01-D01,Desenvolvedor(a) Backend,Senior,2020-10-17,CC-C01-D01,False
C01-E0143,C01,C01-D04,Engenheiro(a) de Testes,Junior,2022-12-04,CC-C01-D04,True
C01-E0144,C01,C01-D02,Engenheiro(a) DevOps,Pleno,2023-01-28,CC-C01-D02,True
C01-E0145,C01,C01-D01,Engenheiro(a) de Software,Senior,2024-04-14,CC-C01-D01,True
C01-E0146,C01,C01-D01,Desenvolvedor(a) Full Stack,Senior,2023-01-03,CC-C01-D01,True
C01-E0147,C01,C01-D05,Engenheiro(a) de Dados,Senior,2022-05-22,CC-C01-D05,True
C01-E0148,C01,C01-D04,Analista de QA,Pleno,2023-01-26,CC-C01-D04,True
C01-E0149,C01,C01-D01,Desenvolvedor(a) Backend,Junior,2023-01-14,CC-C01-D01,False
C01-E0150,C01,C01-D01,Engenheiro(a) de Software,Especialista,2021-09-16,CC-C01-D01,True
C01-E0151,C01,C01-D09,Recrutador(a),Senior,2024-04-23,CC-C01-D09,True
C01-E0152,C01,C01-D01,Engenheiro(a) de Software,Junior,2024-01-18,CC-C01-D01,False
C01-E0153,C01,C01-D01,Desenvolvedor(a) Frontend,Junior,2025-06-29,CC-C01-D01,True
C01-E0154,C01,C01-D04,Engenheiro(a) de Testes,Senior,2025-08-04,CC-C01-D04,True
C01-E0155,C01,C01-D11,Analista Juridico,Gerente,2022-05-06,CC-C01-D11,False
C01-E0156,C01,C01-D01,Desenvolvedor(a) Frontend,Pleno,2024-10-16,CC-C01-D01,True
C01-E0157,C01,C01-D06,Executivo(a) de Vendas,Pleno,2021-02-11,CC-C01-D06,True
C01-E0158,C01,C01-D07,Analista de Marketing,Junior,2021-05-03,CC-C01-D07,True
C01-E0159,C01,C01-D01,Desenvolvedor(a) Frontend,Senior,2022-02-01,CC-C01-D01,True
C01-E0160,C01,C01-D06,Representante Comercial,Junior,2021-12-18,CC-C01-D06,True
C01-E0161,C01,C01-D02,Site Reliability Engineer,Junior,2026-05-20,CC-C01-D02,True
C01-E0162,C01,C01-D06,Executivo(a) de Vendas,Gerente,2021-10-01,CC-C01-D06,True
C01-E0163,C01,C01-D06,Executivo(a) de Vendas,Pleno,2020-08-20,CC-C01-D06,True
C01-E0164,C01,C01-D04,Analista de QA,Senior,2020-12-21,CC-C01-D04,True
C01-E0165,C01,C01-D01,Engenheiro(a) de Software,Senior,2025-05-14,CC-C01-D01,True
C01-E0166,C01,C01-D08,Especialista em Atendimento,Pleno,2021-06-25,CC-C01-D08,True
C01-E0167,C01,C01-D02,Site Reliability Engineer,Junior,2020-10-13,CC-C01-D02,False
C01-E0168,C01,C01-D01,Engenheiro(a) de Software,Junior,2024-08-29,CC-C01-D01,False
C01-E0169,C01,C01-D01,Engenheiro(a) de Software,Junior,2021-05-25,CC-C01-D01,True
C01-E0170,C01,C01-D05,Analista de Dados,Gerente,2021-05-28,CC-C01-D05,True
C01-E0171,C01,C01-D06,Coordenador(a) de Vendas,Senior,2023-05-26,CC-C01-D06,True
C01-E0172,C01,C01-D01,Desenvolvedor(a) Full Stack,Junior,2021-07-06,CC-C01-D01,True
C01-E0173,C01,C01-D04,Engenheiro(a) de Testes,Pleno,2023-10-25,CC-C01-D04,True
C01-E0174,C01,C01-D01,Desenvolvedor(a) Full Stack,Senior,2021-02-09,CC-C01-D01,True
C01-E0175,C01,C01-D06,Executivo(a) de Vendas,Junior,2024-10-02,CC-C01-D06,True
C01-E0176,C01,C01-D01,Desenvolvedor(a) Frontend,Junior,2024-01-17,CC-C01-D01,True
C01-E0177,C01,C01-D06,Representante Comercial,Junior,2022-09-25,CC-C01-D06,True
C01-E0178,C01,C01-D03,Product Owner,Junior,2025-09-29,CC-C01-D03,True
C01-E0179,C01,C01-D09,Business Partner de RH,Junior,2022-01-28,CC-C01-D09,True
C01-E0180,C01,C01-D01,Desenvolvedor(a) Backend,Senior,2021-04-24,CC-C01-D01,True
C01-E0181,C01,C01-D02,Site Reliability Engineer,Pleno,2022-03-06,CC-C01-D02,True
C01-E0182,C01,C01-D01,Desenvolvedor(a) Full Stack,Senior,2024-06-10,CC-C01-D01,True
C01-E0183,C01,C01-D09,Business Partner de RH,Especialista,2023-02-05,CC-C01-D09,True
C01-E0184,C01,C01-D08,Analista de Suporte,Senior,2023-05-19,CC-C01-D08,True
C01-E0185,C01,C01-D01,Engenheiro(a) de Software,Senior,2023-05-24,CC-C01-D01,True
C01-E0186,C01,C01-D06,Representante Comercial,Especialista,2022-05-14,CC-C01-D06,True
C01-E0187,C01,C01-D08,Especialista em Atendimento,Junior,2024-08-04,CC-C01-D08,True
C01-E0188,C01,C01-D04,Analista de QA,Senior,2020-08-13,CC-C01-D04,True
C01-E0189,C01,C01-D04,Analista de QA,Pleno,2022-01-10,CC-C01-D04,True
C01-E0190,C01,C01-D01,Desenvolvedor(a) Backend,Senior,2025-08-24,CC-C01-D01,True
C01-E0191,C01,C01-D01,Desenvolvedor(a) Frontend,Junior,2021-04-07,CC-C01-D01,True
C01-E0192,C01,C01-D08,Especialista em Atendimento,Senior,2023-12-28,CC-C01-D08,False
C01-E0193,C01,C01-D09,Business Partner de RH,Especialista,2024-04-13,CC-C01-D09,True
C01-E0194,C01,C01-D06,Representante Comercial,Junior,2023-04-29,CC-C01-D06,True
C01-E0195,C01,C01-D02,Engenheiro(a) de Infraestrutura,Pleno,2023-08-13,CC-C01-D02,True
C01-E0196,C01,C01-D02,Engenheiro(a) de Infraestrutura,Junior,2026-03-24,CC-C01-D02,True
C01-E0197,C01,C01-D06,Executivo(a) de Vendas,Senior,2020-10-11,CC-C01-D06,True
C01-E0198,C01,C01-D08,Analista de Suporte,Pleno,2025-12-29,CC-C01-D08,True
C01-E0199,C01,C01-D08,Analista de Suporte,Senior,2024-12-30,CC-C01-D08,True
C01-E0200,C01,C01-D07,Especialista em Midias Digitais,Gerente,2025-04-05,CC-C01-D07,True
C01-E0201,C01,C01-D06,Representante Comercial,Especialista,2022-05-12,CC-C01-D06,True
C01-E0202,C01,C01-D01,Desenvolvedor(a) Frontend,Gerente,2023-07-05,CC-C01-D01,True
C01-E0203,C01,C01-D01,Desenvolvedor(a) Full Stack,Junior,2024-07-24,CC-C01-D01,True
C01-E0204,C01,C01-D08,Analista de Suporte,Senior,2021-10-03,CC-C01-D08,True
C01-E0205,C01,C01-D05,Engenheiro(a) de Dados,Junior,2025-03-26,CC-C01-D05,True
C01-E0206,C01,C01-D01,Desenvolvedor(a) Full Stack,Senior,2022-11-20,CC-C01-D01,True
C01-E0207,C01,C01-D01,Engenheiro(a) de Software,Junior,2021-12-30,CC-C01-D01,False
C01-E0208,C01,C01-D06,Executivo(a) de Vendas,Junior,2025-08-04,CC-C01-D06,True
C01-E0209,C01,C01-D01,Desenvolvedor(a) Frontend,Pleno,2025-04-20,CC-C01-D01,True
C01-E0210,C01,C01-D01,Desenvolvedor(a) Full Stack,Junior,2025-02-01,CC-C01-D01,True
C01-E0211,C01,C01-D04,Analista de QA,Pleno,2022-07-20,CC-C01-D04,True
C01-E0212,C01,C01-D06,Coordenador(a) de Vendas,Pleno,2022-04-16,CC-C01-D06,True
C01-E0213,C01,C01-D06,Coordenador(a) de Vendas,Senior,2024-03-15,,True
C01-E0214,C01,C01-D01,Engenheiro(a) de Software,Junior,2020-12-12,CC-C01-D01,False
C01-E0215,C01,C01-D06,Representante Comercial,Pleno,2021-04-15,CC-C01-D06,True
C01-E0216,C01,C01-D01,Engenheiro(a) de Software,Pleno,2024-06-20,CC-C01-D01,True
C01-E0217,C01,C01-D02,Site Reliability Engineer,Pleno,2023-06-01,CC-C01-D02,True
C01-E0218,C01,C01-D07,Especialista em Midias Digitais,Pleno,2021-01-08,CC-C01-D07,True
C01-E0219,C01,C01-D06,Coordenador(a) de Vendas,Junior,2023-06-08,CC-C01-D06,True
C01-E0220,C01,C01-D08,Analista de Suporte,Junior,2025-06-22,CC-C01-D08,False
C01-E0221,C01,C01-D06,Representante Comercial,Pleno,2023-09-17,CC-C01-D06,True
C01-E0222,C01,C01-D05,Cientista de Dados,Pleno,2022-03-12,CC-C01-D05,True
C01-E0223,C01,C01-D01,Engenheiro(a) de Software,Especialista,2021-05-06,CC-C01-D01,True
C01-E0224,C01,C01-D02,Engenheiro(a) de Infraestrutura,Pleno,2024-01-25,CC-C01-D02,True
C01-E0225,C01,C01-D01,Desenvolvedor(a) Full Stack,Junior,2022-08-17,CC-C01-D01,True
C01-E0226,C01,C01-D01,Desenvolvedor(a) Full Stack,Senior,2022-12-31,,True
C01-E0227,C01,C01-D10,Analista Financeiro,Senior,2025-08-20,CC-C01-D10,True
C01-E0228,C01,C01-D03,Product Owner,Junior,2020-12-18,CC-C01-D03,True
C01-E0229,C01,C01-D08,Analista de Suporte,Pleno,2021-02-07,CC-C01-D08,True
C01-E0230,C01,C01-D06,Representante Comercial,Pleno,2021-06-02,CC-C01-D06,True
C01-E0231,C01,C01-D08,Analista de Suporte,Junior,2023-02-22,CC-C01-D08,True
C01-E0232,C01,C01-D04,Analista de QA,Pleno,2023-01-04,CC-C01-D04,True
C01-E0233,C01,C01-D05,Engenheiro(a) de Dados,Pleno,2021-02-19,CC-C01-D05,True
C01-E0234,C01,C01-D04,Engenheiro(a) de Testes,Pleno,2021-09-03,CC-C01-D04,True
C01-E0235,C01,C01-D01,Desenvolvedor(a) Full Stack,Junior,2022-07-01,CC-C01-D01,True
C01-E0236,C01,C01-D06,Representante Comercial,Junior,2023-01-03,CC-C01-D06,True
C01-E0237,C01,C01-D01,Desenvolvedor(a) Backend,Pleno,2024-04-14,CC-C01-D01,True
C01-E0238,C01,C01-D01,Desenvolvedor(a) Frontend,Gerente,2025-01-15,CC-C01-D01,True
C01-E0239,C01,C01-D06,Representante Comercial,Pleno,2023-05-06,CC-C01-D06,True
C01-E0240,C01,C01-D01,Desenvolvedor(a) Full Stack,Junior,2025-04-26,CC-C01-D01,True
C01-E0241,C01,C01-D10,Controller Junior,Senior,2024-11-03,CC-C01-D10,True
C01-E0242,C01,C01-D10,Controller Junior,Junior,2026-04-15,CC-C01-D10,True
C01-E0243,C01,C01-D09,Analista de RH,Senior,2024-07-30,CC-C01-D09,True
C01-E0244,C01,C01-D02,Engenheiro(a) DevOps,Pleno,2023-03-03,CC-C01-D02,True
C01-E0245,C01,C01-D01,Desenvolvedor(a) Frontend,Junior,2020-12-09,CC-C01-D01,True
C01-E0246,C01,C01-D09,Analista de RH,Junior,2023-04-04,CC-C01-D09,True
C01-E0247,C01,C01-D03,Product Owner,Especialista,2024-03-16,CC-C01-D03,True
C01-E0248,C01,C01-D10,Analista Financeiro,Gerente,2024-09-12,CC-C01-D10,False
C01-E0249,C01,C01-D10,Controller Junior,Gerente,2025-06-23,CC-C01-D10,True
C01-E0250,C01,C01-D08,Especialista em Atendimento,Pleno,2020-12-05,CC-C01-D08,True
C01-E0251,C01,C01-D01,Desenvolvedor(a) Backend,Junior,2024-09-28,CC-C01-D01,True
C01-E0252,C01,C01-D03,Analista de Produto,Gerente,2020-10-17,CC-C01-D03,True
C01-E0253,C01,C01-D08,Analista de Suporte,Pleno,2025-02-11,CC-C01-D08,True
C01-E0254,C01,C01-D02,Engenheiro(a) de Infraestrutura,Especialista,2022-09-19,CC-C01-D02,True
C01-E0255,C01,C01-D01,Desenvolvedor(a) Frontend,Pleno,2022-03-06,CC-C01-D01,True
C01-E0256,C01,C01-D04,Engenheiro(a) de Testes,Senior,2024-06-13,CC-C01-D04,True
C01-E0257,C01,C01-D09,Business Partner de RH,Senior,2024-05-27,CC-C01-D09,True
C01-E0258,C01,C01-D06,Executivo(a) de Vendas,Gerente,2022-09-12,CC-C01-D06,True
C01-E0259,C01,C01-D05,Analista de Dados,Pleno,2024-02-11,CC-C01-D05,True
C01-E0260,C01,C01-D01,Desenvolvedor(a) Full Stack,Especialista,2022-05-31,CC-C01-D01,True
C01-E0261,C01,C01-D05,Analista de Dados,Senior,2025-02-21,CC-C01-D05,True
C01-E0262,C01,C01-D11,Analista Juridico,Senior,2026-02-06,CC-C01-D11,True
C01-E0263,C01,C01-D01,Engenheiro(a) de Software,Junior,2023-03-07,CC-C01-D01,True
C01-E0264,C01,C01-D04,Engenheiro(a) de Testes,Pleno,2023-04-10,CC-C01-D04,True
C01-E0265,C01,C01-D08,Especialista em Atendimento,Pleno,2025-08-24,CC-C01-D08,True
C01-E0266,C01,C01-D07,Coordenador(a) de Marketing,Pleno,2024-03-23,CC-C01-D07,True
C01-E0267,C01,C01-D06,Coordenador(a) de Vendas,Senior,2024-11-08,CC-C01-D06,True
C01-E0268,C01,C01-D06,Representante Comercial,Pleno,2024-11-06,CC-C01-D06,True
C01-E0269,C01,C01-D02,Engenheiro(a) DevOps,Pleno,2022-12-30,CC-C01-D02,True
C01-E0270,C01,C01-D01,Desenvolvedor(a) Full Stack,Gerente,2023-08-27,CC-C01-D01,True
C01-E0271,C01,C01-D08,Especialista em Atendimento,Junior,2021-12-06,CC-C01-D08,True
C01-E0272,C01,C01-D08,Especialista em Atendimento,Junior,2021-07-14,CC-C01-D08,False
C01-E0273,C01,C01-D08,Analista de Suporte,Junior,2021-08-07,CC-C01-D08,True
C01-E0274,C01,C01-D09,Recrutador(a),Senior,2024-09-17,CC-C01-D09,True
C01-E0275,C01,C01-D04,Analista de QA,Pleno,2026-03-19,CC-C01-D04,True
C01-E0276,C01,C01-D04,Engenheiro(a) de Testes,Junior,2025-12-29,CC-C01-D04,True
