build_id,project_id,timestamp,status,duration,tests_executed,tests_failed
BLD-C01-P01-000103,C01-P01,2025-06-30 13:17:46,Sucesso,198,591,0
BLD-C01-P01-000104,C01-P01,2025-06-11 16:27:10,Sucesso,321,534,0
BLD-C01-P01-000105,C01-P01,2025-06-13 15:39:46,Sucesso,257,554,0
BLD-C01-P01-000106,C01-P01,2025-06-14 18:53:52,Sucesso,198,341,0
BLD-C01-P01-000107,C01-P01,2025-06-22 20:18:41,Falha,423,203,10
BLD-C01-P01-000108,C01-P01,2025-06-18 14:14:13,Sucesso,305,478,0
BLD-C01-P01-000109,C01-P01,2025-06-15 11:43:28,Sucesso,257,262,0
BLD-C01-P01-000110,C01-P01,2025-06-17 20:38:48,Sucesso,199,497,0
BLD-C01-P01-000111,C01-P01,2025-06-03 21:01:39,Sucesso,259,478,0
BLD-C01-P01-000112,C01-P01,2025-06-14 13:17:01,Sucesso,350,113,0
BLD-C01-P01-000113,C01-P01,2025-06-14 15:51:51,Sucesso,208,458,2
BLD-C01-P01-000114,C01-P01,2025-06-25 21:37:47,Sucesso,403,182,0
BLD-C01-P01-000115,C01-P01,2025-06-22 07:38:13,Sucesso,345,783,0
BLD-C01-P01-000116,C01-P01,2025-06-20 18:59:23,Sucesso,261,509,0
BLD-C01-P01-000117,C01-P01,2025-06-12 14:51:40,Sucesso,450,418,0
BLD-C01-P01-000118,C01-P01,2025-06-09 10:07:10,Sucesso,214,405,0
BLD-C01-P01-000119,C01-P01,2025-06-06 07:00:50,Sucesso,463,391,0
BLD-C01-P01-000120,C01-P01,2025-06-08 17:31:26,Sucesso,228,161,1
BLD-C01-P01-000121,C01-P01,2025-06-25 15:03:38,Sucesso,337,138,0
BLD-C01-P01-000122,C01-P01,2025-06-20 09:31:05,Falha,139,464,7
BLD-C01-P01-000123,C01-P01,2025-06-06 16:09:38,Sucesso,20,350,0
BLD-C01-P01-000124,C01-P01,2025-06-25 17:15:39,Sucesso,358,433,0
BLD-C01-P01-000125,C01-P01,2025-06-16 14:51:51,Sucesso,381,394,0
BLD-C01-P01-000126,C01-P01,2025-06-28 11:21:08,Sucesso,542,15,0
BLD-C01-P01-000127,C01-P01,2025-06-03 12:08:01,Sucesso,221,315,0
BLD-C01-P01-000128,C01-P01,2025-06-09 11:57:47,Falha,180,428,2
BLD-C01-P01-000129,C01-P01,2025-06-11 07:11:05,Sucesso,620,402,0
BLD-C01-P01-000130,C01-P01,2025-06-04 08:43:28,Sucesso,149,662,0
BLD-C01-P01-000131,C01-P01,2025-06-11 08:01:27,Sucesso,310,156,0
BLD-C01-P01-000132,C01-P01,2025-06-02 16:43:22,Sucesso,178,474,0
BLD-C01-P01-000133,C01-P01,2025-06-14 11:22:34,Sucesso,330,63,0
BLD-C01-P01-000134,C01-P01,2025-06-23 21:53:02,Sucesso,307,777,0
BLD-C01-P01-000135,C01-P01,2025-06-08 10:58:39,Falha,408,252,3
BLD-C01-P01-000136,C01-P01,2025-06-10 13:43:02,Sucesso,465,491,0
BLD-C01-P01-000137,C01-P01,2025-06-23 17:20:34,Sucesso,503,485,1
BLD-C01-P01-000138,C01-P01,2025-06-05 16:44:39,Falha,343,438,15
BLD-C01-P01-000139,C01-P01,2025-06-07 14:00:23,Sucesso,367,10,0
BLD-C01-P01-000140,C01-P01,2025-06-06 16:49:14,Sucesso,189,368,0
BLD-C01-P01-000141,C01-P01,2025-06-09 10:11:33,Falha,381,554,3
BLD-C01-P01-000142,C01-P01,2025-06-24 13:46:26,Sucesso,576,130,0
BLD-C01-P01-000143,C01-P01,2025-06-25 08:57:41,Falha,226,556,1
BLD-C01-P01-000144,C01-P01,2025-06-18 18:05:06,Sucesso,459,449,0
BLD-C01-P01-000145,C01-P01,2025-06-26 10:01:13,Sucesso,257,138,0
BLD-C01-P01-000146,C01-P01,2025-06-21 18:32:03,Sucesso,522,524,0
BLD-C01-P01-000147,C01-P01,2025-06-02 16:53:50,Sucesso,229,28,0
BLD-C01-P01-000148,C01-P01,2025-06-17 11:23:07,Sucesso,104,629,0
BLD-C01-P01-000149,C01-P01,2025-06-03 16:46:28,Sucesso,389,202,0
BLD-C01-P01-000150,C01-P01,2025-06-09 21:11:54,Sucesso,416,714,0
BLD-C01-P01-000151,C01-P01,2025-06-11 11:04:59,Falha,372,241,4
BLD-C01-P01-000152,C01-P01,2025-06-07 09:27:12,Sucesso,269,206,0
BLD-C01-P01-000153,C01-P01,2025-06-04 11:55:06,Sucesso,295,401,0
BLD-C01-P01-000154,C01-P01,2025-06-13 11:42:01,Sucesso,348,595,0
BLD-C01-P01-000155,C01-P01,2025-06-13 16:44:34,Sucesso,269,333,0
BLD-C01-P01-000156,C01-P01,2025-07-03 17:49:23,Sucesso,587,369,0
BLD-C01-P01-000157,C01-P01,2025-07-25 15:08:38,Sucesso,453,183,0
BLD-C01-P01-000158,C01-P01,2025-07-30 16:45:41,Falha,455,611,2
BLD-C01-P01-000159,C01-P01,2025-07-29 12:42:07,Falha,333,241,2
BLD-C01-P01-000160,C01-P01,2025-07-26 15:50:51,Sucesso,93,195,0
BLD-C01-P01-000161,C01-P01,2025-07-09 12:41:58,Sucesso,250,531,0
BLD-C01-P01-000162,C01-P01,2025-07-26 20:39:38,Sucesso,280,463,0
BLD-C01-P01-000163,C01-P01,2025-07-24 08:08:56,Sucesso,192,522,0
BLD-C01-P01-000164,C01-P01,2025-07-08 20:03:41,Sucesso,205,605,0
BLD-C01-P01-000165,C01-P01,2025-07-12 14:43:50,Sucesso,338,337,0
BLD-C01-P01-000166,C01-P01,2025-07-04 13:35:21,Falha,380,429,3
BLD-C01-P01-000167,C01-P01,2025-07-19 21:06:43,Sucesso,476,456,0
BLD-C01-P01-000168,C01-P01,2025-07-22 21:46:08,Sucesso,424,525,0
BLD-C01-P01-000169,C01-P01,2025-07-25 08:15:42,Sucesso,248,380,0
BLD-C01-P01-000170,C01-P01,2025-07-25 18:56:45,Sucesso,337,756,0
BLD-C01-P01-000171,C01-P01,2025-07-05 08:45:10,Sucesso,20,99,1
BLD-C01-P01-000172,C01-P01,2025-07-25 12:30:21,Sucesso,332,533,0
BLD-C01-P01-000173,C01-P01,2025-07-18 14:22:42,Sucesso,490,368,0
BLD-C01-P01-000174,C01-P01,2025-07-16 16:37:42,Sucesso,168,297,0
BLD-C01-P01-000175,C01-P01,2025-07-09 16:51:40,Sucesso,558,448,0
BLD-C01-P01-000176,C01-P01,2025-07-18 20:04:54,Sucesso,342,317,0
BLD-C01-P01-000177,C01-P01,2025-07-22 17:00:35,Sucesso,321,343,0
BLD-C01-P01-000178,C01-P01,2025-07-06 20:51:50,Sucesso,141,394,0
BLD-C01-P01-000179,C01-P01,2025-07-30 15:57:44,Sucesso,262,270,0
BLD-C01-P01-000180,C01-P01,2025-07-29 19:05:32,Sucesso,230,696,0
BLD-C01-P01-000181,C01-P01,2025-07-15 09:22:32,Sucesso,479,272,0
BLD-C01-P01-000182,C01-P01,2025-07-09 19:53:52,Falha,390,430,3
BLD-C01-P01-000183,C01-P01,2025-07-22 15:27:32,Sucesso,449,215,0
BLD-C01-P01-000184,C01-P01,2025-07-30 07:32:12,Sucesso,20,486,0
BLD-C01-P01-000185,C01-P01,2025-07-02 10:26:13,Falha,432,357,1
BLD-C01-P01-000186,C01-P01,2025-07-14 19:17:14,Sucesso,20,707,0
BLD-C01-P01-000187,C01-P01,2025-07-12 08:18:02,Sucesso,428,496,0
BLD-C01-P01-000188,C01-P01,2025-07-12 19:26:26,Sucesso,209,645,0
BLD-C01-P01-000189,C01-P01,2025-07-10 13:22:01,Sucesso,241,186,0
BLD-C01-P01-000190,C01-P01,2025-07-07 10:09:45,Sucesso,355,658,1
BLD-C01-P01-000191,C01-P01,2025-07-16 18:37:30,Sucesso,300,521,0
BLD-C01-P01-000192,C01-P01,2025-07-02 09:48:10,Sucesso,31,449,0
BLD-C01-P01-000193,C01-P01,2025-07-08 19:57:35,Sucesso,111,98,0
BLD-C01-P01-000194,C01-P01,2025-07-06 10:00:18,Sucesso,480,689,0
BLD-C01-P01-000195,C01-P01,2025-07-06 19:01:12,Sucesso,258,433,0
BLD-C01-P01-000196,C01-P01,2025-07-21 07:22:22,Sucesso,259,437,0
BLD-C01-P01-000197,C01-P01,2025-07-20 21:31:30,Sucesso,529,281,0
BLD-C01-P01-000198,C01-P01,2025-07-18 14:59:36,Sucesso,417,391,0
BLD-C01-P01-000199,C01-P01,2025-07-27 13:12:01,Sucesso,314,241,0
BLD-C01-P01-000200,C01-P01,2025-07-26 08:25:15,Sucesso,359,241,0
BLD-C01-P01-000201,C01-P01,2025-07-10 21:13:44,Sucesso,271,251,0
BLD-C01-P01-000202,C01-P01,2025-07-22 08:01:30,Sucesso,234,439,0
BLD-C01-P01-000203,C01-P01,2025-07-31 20:24:09,Sucesso,304,308,0
BLD-C01-P01-000204,C01-P01,2025-07-28 10:28:59,Sucesso,457,484,0
BLD-C01-P01-000205,C01-P01,2025-07-01 16:01:49,Sucesso,214,327,0
BLD-C01-P01-000206,C01-P01,2025-07-09 09:14:44,Sucesso,764,699,0
BLD-C01-P01-000207,C01-P01,2025-07-12 18:12:44,Sucesso,344,312,0
BLD-C01-P01-000208,C01-P01,2025-07-02 20:13:27,Falha,147,790,5
BLD-C01-P01-000209,C01-P01,2025-07-23 12:48:52,Sucesso,20,791,0
BLD-C01-P01-000210,C01-P01,2025-07-20 17:00:38,Sucesso,116,208,0
BLD-C01-P01-000211,C01-P01,2025-07-28 10:51:19,Sucesso,491,105,0
BLD-C01-P01-000212,C01-P01,2025-07-03 15:48:34,Sucesso,502,760,0
BLD-C01-P01-000213,C01-P01,2025-07-02 08:38:09,Sucesso,135,282,0
BLD-C01-P01-000214,C01-P01,2025-07-04 15:01:28,Sucesso,607,163,0
BLD-C01-P01-000215,C01-P01,2025-07-08 15:49:46,Sucesso,297,202,0
BLD-C01-P01-000216,C01-P01,2025-07-14 13:11:16,Falha,338,543,2
BLD-C01-P01-000217,C01-P01,2025-07-13 16:34:26,Sucesso,542,561,0
BLD-C01-P01-000218,C01-P01,2025-07-30 08:46:20,Falha,256,571,13
BLD-C01-P01-000219,C01-P01,2025-07-01 09:32:38,Falha,228,213,22
BLD-C01-P01-000220,C01-P01,2025-07-25 18:25:09,Sucesso,152,744,0
BLD-C01-P01-000221,C01-P01,2025-07-29 13:47:59,Sucesso,221,10,0
BLD-C01-P01-000222,C01-P01,2025-07-12 15:11:23,Sucesso,94,214,1
BLD-C01-P01-000223,C01-P01,2025-07-12 15:26:42,Sucesso,374,437,0
BLD-C01-P01-000224,C01-P01,2025-07-27 16:11:12,Sucesso,63,461,0
BLD-C01-P01-000225,C01-P01,2025-07-29 17:14:49,Sucesso,174,97,0
BLD-C01-P01-000226,C01-P01,2025-07-31 09:25:24,Sucesso,465,603,0
BLD-C01-P01-000227,C01-P01,2025-07-20 08:23:25,Sucesso,556,454,0
BLD-C01-P01-000228,C01-P01,2025-07-17 11:06:01,Sucesso,20,273,0
BLD-C01-P01-000229,C01-P01,2025-07-04 11:16:19,Sucesso,539,326,0
BLD-C01-P01-000230,C01-P01,2025-07-18 08:57:20,Sucesso,337,154,0
BLD-C01-P01-000231,C01-P01,2025-07-08 07:49:50,Sucesso,254,545,0
BLD-C01-P01-000232,C01-P01,2025-07-28 19:50:05,Sucesso,325,37,0
BLD-C01-P01-000233,C01-P01,2025-07-23 19:08:59,Falha,523,229,6
BLD-C01-P01-000234,C01-P01,2025-07-30 12:31:45,Sucesso,20,509,0
BLD-C01-P01-000235,C01-P01,2025-07-08 21:14:11,Sucesso,295,501,0
BLD-C01-P01-000236,C01-P01,2025-07-03 15:48:55,Falha,20,437,1
BLD-C01-P01-000237,C01-P01,2025-07-28 13:30:32,Sucesso,377,380,0
BLD-C01-P01-000238,C01-P01,2025-07-05 18:42:35,Sucesso,416,377,0
BLD-C01-P01-000239,C01-P01,2025-07-04 17:41:55,Sucesso,597,796,0
BLD-C01-P01-000240,C01-P01,2025-07-22 08:10:46,Sucesso,230,518,0
BLD-C01-P01-000241,C01-P01,2025-07-12 14:01:04,Sucesso,271,310,0
BLD-C01-P01-000242,C01-P01,2025-07-11 18:01:14,Sucesso,418,384,0
BLD-C01-P01-000243,C01-P01,2025-07-08 18:53:10,Sucesso,586,306,0
BLD-C01-P01-000244,C01-P01,2025-07-24 07:47:39,Sucesso,222,501,0
BLD-C01-P01-000245,C01-P01,2025-07-17 10:57:59,Sucesso,186,708,0
BLD-C01-P01-000246,C01-P01,2025-07-07 07:01:17,Sucesso,403,719,0
BLD-C01-P01-000247,C01-P01,2025-07-26 14:54:56,Sucesso,392,95,1
BLD-C01-P01-000248,C01-P01,2025-07-02 12:47:17,Sucesso,334,416,3
BLD-C01-P01-000249,C01-P01,2025-07-25 20:26:29,Sucesso,191,624,0
BLD-C01-P01-000250,C01-P01,2025-07-20 10:29:48,Sucesso,475,239,0
BLD-C01-P01-000251,C01-P01,2025-07-29 08:52:33,Sucesso,96,175,0
BLD-C01-P01-000252,C01-P01,2025-07-11 08:41:32,Falha,264,611,4
BLD-C01-P01-000253,C01-P01,2025-07-27 12:05:01,Sucesso,498,395,0
BLD-C01-P01-000254,C01-P01,2025-07-23 15:37:35,Sucesso,439,90,0
BLD-C01-P01-000255,C01-P01,2025-07-06 20:02:45,Sucesso,189,679,0
BLD-C01-P01-000256,C01-P01,2025-07-18 10:39:24,Sucesso,289,472,1
BLD-C01-P01-000257,C01-P01,2025-07-09 07:56:11,Sucesso,168,382,0
BLD-C01-P01-000258,C01-P01,2025-07-07 13:55:52,Sucesso,545,284,0
BLD-C01-P01-000259,C01-P01,2025-07-07 19:21:05,Sucesso,431,451,0
BLD-C01-P01-000260,C01-P01,2025-07-20 15:26:08,Sucesso,441,251,0
BLD-C01-P01-000261,C01-P01,2025-07-04 14:39:52,Sucesso,325,583,0
BLD-C01-P01-000262,C01-P01,2025-07-28 19:17:11,Sucesso,155,665,0
BLD-C01-P01-000263,C01-P01,2025-07-07 19:38:03,Sucesso,323,469,0
BLD-C01-P01-000264,C01-P01,2025-07-31 17:21:16,Sucesso,284,413,0
BLD-C01-P01-000265,C01-P01,2025-07-18 15:41:25,Sucesso,470,452,1
BLD-C01-P01-000266,C01-P01,2025-07-15 15:57:44,Sucesso,217,474,0
BLD-C01-P01-000267,C01-P01,2025-07-08 11:36:02,Sucesso,230,32,0
BLD-C01-P01-000268,C01-P01,2025-07-23 15:46:04,Sucesso,165,213,0
BLD-C01-P01-000269,C01-P01,2025-07-17 14:53:16,Sucesso,20,513,0
BLD-C01-P01-000270,C01-P01,2025-07-23 21:01:07,Sucesso,137,402,0
BLD-C01-P01-000271,C01-P01,2025-07-25 17:47:37,Sucesso,137,842,0
BLD-C01-P01-000272,C01-P01,2025-07-20 14:47:51,Sucesso,382,415,0
BLD-C01-P01-000273,C01-P01,2025-07-24 20:32:17,Sucesso,643,324,0
BLD-C01-P01-000274,C01-P01,2025-07-25 17:59:59,Sucesso,20,216,0
BLD-C01-P01-000275,C01-P01,2025-07-29 19:18:08,Sucesso,205,52,0
BLD-C01-P01-000276,C01-P01,2025-07-09 16:13:14,Sucesso,329,300,0
BLD-C01-P01-000277,C01-P01,2025-07-03 10:10:09,Sucesso,250,277,0
BLD-C01-P01-000278,C01-P01,2025-07-31 07:41:01,Sucesso,481,389,0
BLD-C01-P01-000279,C01-P01,2025-07-13 20:26:20,Sucesso,188,426,0
BLD-C01-P01-000280,C01-P01,2025-07-10 15:58:43,Sucesso,20,472,1
BLD-C01-P01-000281,C01-P01,2025-07-22 08:03:20,Sucesso,442,673,0
BLD-C01-P01-000282,C01-P01,2025-07-24 17:30:53,Sucesso,218,491,0
BLD-C01-P01-000283,C01-P01,2025-07-30 16:16:07,Sucesso,585,397,0
BLD-C01-P01-000284,C01-P01,2025-07-15 10:12:46,Sucesso,190,602,0
BLD-C01-P01-000285,C01-P01,2025-07-02 10:12:51,Sucesso,193,556,0
BLD-C01-P01-000286,C01-P01,2025-07-15 12:41:41,Sucesso,574,280,0
BLD-C01-P01-000287,C01-P01,2025-07-17 18:42:10,Sucesso,356,337,0
BLD-C01-P01-000288,C01-P01,2025-07-25 20:47:19,Sucesso,233,65,0
BLD-C01-P01-000289,C01-P01,2025-07-09 09:55:49,Sucesso,280,460,0
BLD-C01-P01-000290,C01-P01,2025-07-04 08:19:07,Falha,414,236,1
BLD-C01-P01-000291,C01-P01,2025-07-03 11:36:14,Sucesso,350,336,0
BLD-C01-P01-000292,C01-P01,2025-07-29 10:24:24,Sucesso,364,10,0
BLD-C01-P01-000293,C01-P01,2025-07-04 19:30:50,Sucesso,284,725,0
BLD-C01-P01-000294,C01-P01,2025-07-09 08:21:55,Sucesso,421,420,0
BLD-C01-P01-000295,C01-P01,2025-07-05 15:25:00,Sucesso,491,263,0
BLD-C01-P01-000296,C01-P01,2025-07-21 08:17:06,Sucesso,561,242,0
BLD-C01-P01-000297,C01-P01,2025-07-08 12:42:13,Falha,543,133,11
BLD-C01-P01-000298,C01-P01,2025-07-24 11:32:09,Falha,454,350,3
BLD-C01-P01-000299,C01-P01,2025-07-20 07:44:20,Sucesso,338,433,0
BLD-C01-P01-000300,C01-P01,2025-08-31 11:25:27,Sucesso,60,600,0
BLD-C01-P01-000301,C01-P01,2025-08-02 11:07:06,Sucesso,663,550,1
BLD-C01-P01-000302,C01-P01,2025-08-09 20:17:43,Sucesso,431,600,0
BLD-C01-P01-000303,C01-P01,2025-08-21 08:36:21,Falha,266,423,5
BLD-C01-P01-000304,C01-P01,2025-08-01 10:49:30,Sucesso,248,446,0
BLD-C01-P01-000305,C01-P01,2025-08-10 15:44:49,Sucesso,113,266,0
BLD-C01-P01-000306,C01-P01,2025-08-28 08:34:28,Falha,390,500,8
BLD-C01-P01-000307,C01-P01,2025-08-11 11:37:24,Falha,513,231,5
BLD-C01-P01-000308,C01-P01,2025-08-14 08:38:34,Sucesso,391,380,0
BLD-C01-P01-000309,C01-P01,2025-08-13 13:04:19,Sucesso,130,317,0
BLD-C01-P01-000310,C01-P01,2025-08-23 19:58:42,Sucesso,264,524,0
BLD-C01-P01-000311,C01-P01,2025-08-06 16:24:51,Sucesso,286,820,0
BLD-C01-P01-000312,C01-P01,2025-08-30 20:52:25,Sucesso,69,323,0
BLD-C01-P01-000313,C01-P01,2025-08-28 14:46:59,Sucesso,245,521,0
BLD-C01-P01-000314,C01-P01,2025-08-30 11:09:25,Falha,117,446,1
BLD-C01-P01-000315,C01-P01,2025-08-06 19:08:05,Sucesso,487,381,0
BLD-C01-P01-000316,C01-P01,2025-08-23 08:20:50,Sucesso,134,504,0
BLD-C01-P01-000317,C01-P01,2025-08-31 09:41:25,Sucesso,145,530,0
BLD-C01-P01-000318,C01-P01,2025-08-10 11:00:45,Sucesso,171,385,0
