billing_id,company_id,billing_month,provider,ai_tool_id,model_id,cost_center,usage_quantity,total_cost,currency
B000026,C01,2025-06,OpenAI,T13,M21,CC-C01-D01,227118,0.3,USD
B000027,C01,2025-06,OpenAI,T13,M21,CC-C01-D03,58829,0.05,USD
B000028,C01,2025-06,OpenAI,T13,M21,CC-C01-D04,143809,0.1,USD
B000029,C01,2025-06,OpenAI,T13,M21,CC-C01-D05,2192529,2.17,USD
B000030,C01,2025-06,OpenAI,T13,M21,CC-C01-D06,302830,0.37,USD
B000031,C01,2025-07,Google Cloud,T12,M17,CC-C01-D01,594112,1.77,USD
B000032,C01,2025-07,Google Cloud,T12,M17,CC-C01-D03,48739,0.11,USD
B000033,C01,2025-07,Google Cloud,T12,M17,CC-C01-D05,2595564,8.42,USD
B000034,C01,2025-07,Google Cloud,T12,M17,CC-C01-D06,862627,2.26,USD
B000035,C01,2025-07,Google Cloud,T12,M17,CC-C01-D07,39812,0.11,USD
B000036,C01,2025-07,Google Cloud,T12,M17,CC-C01-D08,675250,2.28,USD
B000037,C01,2025-07,Google Cloud,T12,M17,,78487,0.21,USD
B000038,C01,2025-07,Google Cloud,T12,M18,CC-C01-D01,875371,0.71,USD
B000039,C01,2025-07,Google Cloud,T12,M18,CC-C01-D04,335693,0.42,USD
B000040,C01,2025-07,Google Cloud,T12,M18,CC-C01-D05,1151104,1.13,USD
B000041,C01,2025-07,Google Cloud,T12,M18,CC-C01-D06,146005,0.18,USD
B000042,C01,2025-07,Google Cloud,T12,M18,CC-C01-D07,315895,0.32,USD
B000043,C01,2025-07,Google Cloud,T12,M18,CC-C01-D08,353304,0.37,USD
B000044,C01,2025-07,OpenAI,T13,M19,CC-C01-D01,1929076,18.28,USD
B000045,C01,2025-07,OpenAI,T13,M19,CC-C01-D02,697200,6.55,USD
B000046,C01,2025-07,OpenAI,T13,M19,CC-C01-D04,694055,8.99,USD
B000047,C01,2025-07,OpenAI,T13,M19,CC-C01-D05,5967998,55.68,USD
B000048,C01,2025-07,OpenAI,T13,M19,CC-C01-D06,101354,0.87,USD
B000049,C01,2025-07,OpenAI,T13,M19,CC-C01-D07,274093,3.01,USD
B000050,C01,2025-07,OpenAI,T13,M19,CC-C01-D08,82334,0.98,USD
B000051,C01,2025-07,OpenAI,T13,M20,CC-C01-D01,1451151,0.47,USD
B000052,C01,2025-07,OpenAI,T13,M20,CC-C01-D04,265002,0.06,USD
B000053,C01,2025-07,OpenAI,T13,M20,CC-C01-D05,934302,0.31,USD
B000054,C01,2025-07,OpenAI,T13,M20,CC-C01-D06,151461,0.08,USD
B000055,C01,2025-07,OpenAI,T13,M20,CC-C01-D08,362047,0.17,USD
B000056,C01,2025-07,OpenAI,T13,M20,CC-C01-D10,120642,0.04,USD
B000057,C01,2025-07,OpenAI,T13,M21,CC-C01-D01,540671,0.59,USD
B000058,C01,2025-07,OpenAI,T13,M21,CC-C01-D02,76246,0.05,USD
B000059,C01,2025-07,OpenAI,T13,M21,CC-C01-D04,380270,0.41,USD
B000060,C01,2025-07,OpenAI,T13,M21,CC-C01-D05,1789418,1.89,USD
B000061,C01,2025-07,OpenAI,T13,M21,CC-C01-D06,1149106,1.14,USD
B000062,C01,2025-08,Google Cloud,T12,M17,CC-C01-D02,798701,2.12,USD
B000063,C01,2025-08,Google Cloud,T12,M17,CC-C01-D03,488071,1.43,USD
B000064,C01,2025-08,Google Cloud,T12,M17,CC-C01-D04,375400,1.31,USD
B000065,C01,2025-08,Google Cloud,T12,M17,CC-C01-D05,5112641,14.43,USD
B000066,C01,2025-08,Google Cloud,T12,M17,CC-C01-D06,1149023,3.3,USD
B000067,C01,2025-08,Google Cloud,T12,M17,CC-C01-D08,508021,2.03,USD
B000068,C01,2025-08,Google Cloud,T12,M17,CC-C01-D10,141845,0.64,USD
B000069,C01,2025-08,Google Cloud,T12,M17,,37243,0.07,USD
B000070,C01,2025-08,Google Cloud,T12,M18,CC-C01-D05,2282581,2.38,USD
B000071,C01,2025-08,Google Cloud,T12,M18,CC-C01-D06,808731,0.74,USD
B000072,C01,2025-08,OpenAI,T13,M19,CC-C01-D01,987468,9.92,USD
B000073,C01,2025-08,OpenAI,T13,M19,CC-C01-D02,561775,5.64,USD
B000074,C01,2025-08,OpenAI,T13,M19,CC-C01-D05,2341686,22.52,USD
B000075,C01,2025-08,OpenAI,T13,M19,CC-C01-D06,1155779,12.33,USD
B000076,C01,2025-08,OpenAI,T13,M19,CC-C01-D07,148448,1.53,USD
B000077,C01,2025-08,OpenAI,T13,M19,CC-C01-D08,1660370,17.03,USD
B000078,C01,2025-08,OpenAI,T13,M19,CC-C01-D09,98295,0.7,USD
B000079,C01,2025-08,OpenAI,T13,M19,,121924,1.3,USD
B000080,C01,2025-08,OpenAI,T13,M20,CC-C01-D01,50886,0.03,USD
B000081,C01,2025-08,OpenAI,T13,M20,CC-C01-D04,1332517,0.43,USD
B000082,C01,2025-08,OpenAI,T13,M20,CC-C01-D05,2357910,0.89,USD
B000083,C01,2025-08,OpenAI,T13,M20,CC-C01-D06,472509,0.2,USD
B000084,C01,2025-08,OpenAI,T13,M20,CC-C01-D07,67501,0.02,USD
B000085,C01,2025-08,OpenAI,T13,M20,CC-C01-D08,450420,0.14,USD
B000086,C01,2025-08,OpenAI,T13,M20,CC-C01-D09,575378,0.16,USD
B000087,C01,2025-08,OpenAI,T13,M20,,90537,0.04,USD
B000088,C01,2025-08,OpenAI,T13,M21,CC-C01-D01,108809,0.1,USD
B000089,C01,2025-08,OpenAI,T13,M21,CC-C01-D04,347600,0.33,USD
B000090,C01,2025-08,OpenAI,T13,M21,CC-C01-D05,1987709,1.89,USD
B000091,C01,2025-08,OpenAI,T13,M21,CC-C01-D06,84071,0.09,USD
B000092,C01,2025-08,OpenAI,T13,M21,CC-C01-D07,323523,0.26,USD
B000093,C01,2025-08,OpenAI,T13,M21,CC-C01-D08,1110533,1.33,USD
B000094,C01,2025-08,OpenAI,T13,M21,CC-C01-D10,44422,0.05,USD
B000095,C01,2025-09,Google Cloud,T12,M17,CC-C01-D01,1861831,4.22,USD
B000096,C01,2025-09,Google Cloud,T12,M17,CC-C01-D02,116567,0.25,USD
B000097,C01,2025-09,Google Cloud,T12,M17,CC-C01-D03,185828,0.86,USD
B000098,C01,2025-09,Google Cloud,T12,M17,CC-C01-D04,888861,2.59,USD
B000099,C01,2025-09,Google Cloud,T12,M17,CC-C01-D05,4010709,10.93,USD
B000100,C01,2025-09,Google Cloud,T12,M17,CC-C01-D06,654173,1.85,USD
B000101,C01,2025-09,Google Cloud,T12,M17,CC-C01-D09,145866,0.4,USD
B000102,C01,2025-09,Google Cloud,T12,M18,CC-C01-D01,1176521,1.13,USD
B000103,C01,2025-09,Google Cloud,T12,M18,CC-C01-D04,541061,0.55,USD
B000104,C01,2025-09,Google Cloud,T12,M18,CC-C01-D05,1754240,1.65,USD
B000105,C01,2025-09,Google Cloud,T12,M18,CC-C01-D06,935634,0.84,USD
B000106,C01,2025-09,Google Cloud,T12,M18,CC-C01-D07,117875,0.11,USD
B000107,C01,2025-09,Google Cloud,T12,M18,CC-C01-D08,82516,0.06,USD
B000108,C01,2025-09,Google Cloud,T12,M18,CC-C01-D10,52362,0.06,USD
B000109,C01,2025-09,Google Cloud,T12,M18,,9037,0.01,USD
B000110,C01,2025-09,OpenAI,T13,M19,CC-C01-D01,2186533,17.61,USD
B000111,C01,2025-09,OpenAI,T13,M19,CC-C01-D02,191863,2.23,USD
B000112,C01,2025-09,OpenAI,T13,M19,CC-C01-D03,261344,2.52,USD
B000113,C01,2025-09,OpenAI,T13,M19,CC-C01-D05,6071331,58.79,USD
B000114,C01,2025-09,OpenAI,T13,M19,CC-C01-D06,1350833,13.36,USD
B000115,C01,2025-09,OpenAI,T13,M19,CC-C01-D07,40294,0.42,USD
B000116,C01,2025-09,OpenAI,T13,M19,CC-C01-D08,972645,10.78,USD
B000117,C01,2025-09,OpenAI,T13,M19,CC-C01-D09,317557,2.75,USD
B000118,C01,2025-09,OpenAI,T13,M19,,307876,4.21,USD
B000119,C01,2025-09,OpenAI,T13,M20,CC-C01-D01,262017,0.1,USD
B000120,C01,2025-09,OpenAI,T13,M20,CC-C01-D04,352173,0.07,USD
B000121,C01,2025-09,OpenAI,T13,M20,CC-C01-D05,1239494,0.37,USD
B000122,C01,2025-09,OpenAI,T13,M20,CC-C01-D06,438118,0.12,USD
B000123,C01,2025-09,OpenAI,T13,M20,CC-C01-D08,54850,0.02,USD
B000124,C01,2025-09,OpenAI,T13,M21,CC-C01-D01,913608,0.81,USD
B000125,C01,2025-09,OpenAI,T13,M21,CC-C01-D03,166503,0.2,USD
B000126,C01,2025-09,OpenAI,T13,M21,CC-C01-D04,316100,0.32,USD
B000127,C01,2025-09,OpenAI,T13,M21,CC-C01-D06,84962,0.07,USD
B000128,C01,2025-09,OpenAI,T13,M21,CC-C01-D07,382835,0.48,USD
B000129,C01,2025-09,OpenAI,T13,M21,,833775,0.72,USD
B000130,C01,2025-10,Google Cloud,T12,M17,CC-C01-D01,2028128,5.32,USD
B000131,C01,2025-10,Google Cloud,T12,M17,CC-C01-D02,28303,0.11,USD
B000132,C01,2025-10,Google Cloud,T12,M17,CC-C01-D03,19063,0.03,USD
B000133,C01,2025-10,Google Cloud,T12,M17,CC-C01-D04,67002,0.17,USD
B000134,C01,2025-10,Google Cloud,T12,M17,CC-C01-D05,6657794,21.31,USD
B000135,C01,2025-10,Google Cloud,T12,M17,CC-C01-D06,1099532,3.68,USD
B000136,C01,2025-10,Google Cloud,T12,M17,CC-C01-D07,50011,0.18,USD
B000137,C01,2025-10,Google Cloud,T12,M17,CC-C01-D08,372054,1.16,USD
B000138,C01,2025-10,Google Cloud,T12,M17,CC-C01-D10,5806,0.01,USD
B000139,C01,2025-10,Google Cloud,T12,M18,CC-C01-D01,312507,0.36,USD
B000140,C01,2025-10,Google Cloud,T12,M18,CC-C01-D02,455873,0.46,USD
B000141,C01,2025-10,Google Cloud,T12,M18,CC-C01-D04,177285,0.24,USD
B000142,C01,2025-10,Google Cloud,T12,M18,CC-C01-D05,2460313,2.28,USD
B000143,C01,2025-10,Google Cloud,T12,M18,CC-C01-D06,1264700,1.3,USD
B000144,C01,2025-10,Google Cloud,T12,M18,CC-C01-D07,226081,0.19,USD
B000145,C01,2025-10,Google Cloud,T12,M18,CC-C01-D08,207643,0.21,USD
B000146,C01,2025-10,OpenAI,T13,M19,CC-C01-D01,2038631,20.68,USD
B000147,C01,2025-10,OpenAI,T13,M19,CC-C01-D04,222735,2.47,USD
B000148,C01,2025-10,OpenAI,T13,M19,CC-C01-D05,5855612,56.75,USD
B000149,C01,2025-10,OpenAI,T13,M19,CC-C01-D06,788514,8.03,USD
B000150,C01,2025-10,OpenAI,T13,M19,CC-C01-D07,1270308,12.79,USD
B000151,C01,2025-10,OpenAI,T13,M19,,281143,1.81,USD
B000152,C01,2025-10,OpenAI,T13,M20,CC-C01-D01,1402564,0.52,USD
B000153,C01,2025-10,OpenAI,T13,M20,CC-C01-D03,130739,0.05,USD
B000154,C01,2025-10,OpenAI,T13,M20,CC-C01-D04,424974,0.14,USD
B000155,C01,2025-10,OpenAI,T13,M20,CC-C01-D05,4656686,1.7,USD
B000156,C01,2025-10,OpenAI,T13,M20,CC-C01-D06,477767,0.22,USD
B000157,C01,2025-10,OpenAI,T13,M20,CC-C01-D08,243725,0.1,USD
B000158,C01,2025-10,OpenAI,T13,M20,CC-C01-D09,135028,0.03,USD
B000159,C01,2025-10,OpenAI,T13,M21,CC-C01-D01,331358,0.24,USD
B000160,C01,2025-10,OpenAI,T13,M21,CC-C01-D03,220384,0.16,USD
B000161,C01,2025-10,OpenAI,T13,M21,CC-C01-D05,2948631,2.64,USD
B000162,C01,2025-10,OpenAI,T13,M21,CC-C01-D06,319666,0.3,USD
B000163,C01,2025-10,OpenAI,T13,M21,CC-C01-D07,183211,0.18,USD
B000164,C01,2025-10,OpenAI,T13,M21,CC-C01-D08,1129229,1.09,USD
B000165,C01,2025-11,Google Cloud,T12,M17,CC-C01-D01,2059658,5.55,USD
B000166,C01,2025-11,Google Cloud,T12,M17,CC-C01-D04,470198,1.52,USD
B000167,C01,2025-11,Google Cloud,T12,M17,CC-C01-D05,6910301,20.81,USD
B000168,C01,2025-11,Google Cloud,T12,M17,CC-C01-D06,1122628,3.43,USD
B000169,C01,2025-11,Google Cloud,T12,M17,CC-C01-D07,215463,0.64,USD
B000170,C01,2025-11,Google Cloud,T12,M17,CC-C01-D08,222470,0.5,USD
B000171,C01,2025-11,Google Cloud,T12,M17,CC-C01-D09,205214,0.37,USD
B000172,C01,2025-11,Google Cloud,T12,M18,CC-C01-D02,87516,0.11,USD
B000173,C01,2025-11,Google Cloud,T12,M18,CC-C01-D04,10186,0.01,USD
B000174,C01,2025-11,Google Cloud,T12,M18,CC-C01-D05,2597607,2.52,USD
B000175,C01,2025-11,Google Cloud,T12,M18,CC-C01-D06,577097,0.55,USD
B000176,C01,2025-11,Google Cloud,T12,M18,CC-C01-D07,22036,0.01,USD
B000177,C01,2025-11,Google Cloud,T12,M18,CC-C01-D08,295932,0.36,USD
B000178,C01,2025-11,Google Cloud,T12,M18,,789829,0.54,USD
B000179,C01,2025-11,OpenAI,T13,M19,CC-C01-D01,813153,7.68,USD
B000180,C01,2025-11,OpenAI,T13,M19,CC-C01-D02,1056578,9.79,USD
B000181,C01,2025-11,OpenAI,T13,M19,CC-C01-D04,2066029,22.23,USD
B000182,C01,2025-11,OpenAI,T13,M19,CC-C01-D05,6647688,63.17,USD
B000183,C01,2025-11,OpenAI,T13,M19,CC-C01-D06,1539265,15.21,USD
B000184,C01,2025-11,OpenAI,T13,M19,CC-C01-D08,1390342,13.01,USD
B000185,C01,2025-11,OpenAI,T13,M19,CC-C01-D10,268282,2.65,USD
B000186,C01,2025-11,OpenAI,T13,M20,CC-C01-D01,1324560,0.36,USD
B000187,C01,2025-11,OpenAI,T13,M20,CC-C01-D02,606030,0.25,USD
B000188,C01,2025-11,OpenAI,T13,M20,CC-C01-D03,375098,0.15,USD
B000189,C01,2025-11,OpenAI,T13,M20,CC-C01-D05,4158358,1.73,USD
B000190,C01,2025-11,OpenAI,T13,M20,CC-C01-D06,1018374,0.28,USD
B000191,C01,2025-11,OpenAI,T13,M20,CC-C01-D07,115490,0.06,USD
B000192,C01,2025-11,OpenAI,T13,M20,,453469,0.18,USD
B000193,C01,2025-11,OpenAI,T13,M21,CC-C01-D01,44637,0.04,USD
B000194,C01,2025-11,OpenAI,T13,M21,CC-C01-D05,1538233,1.8,USD
B000195,C01,2025-11,OpenAI,T13,M21,CC-C01-D06,387071,0.57,USD
B000196,C01,2025-11,OpenAI,T13,M21,CC-C01-D07,44754,0.05,USD
B000197,C01,2025-11,OpenAI,T13,M21,,636057,0.64,USD
B000198,C01,2025-12,Google Cloud,T12,M17,CC-C01-D01,642938,2.22,USD
B000199,C01,2025-12,Google Cloud,T12,M17,CC-C01-D02,322137,1.13,USD
B000200,C01,2025-12,Google Cloud,T12,M17,CC-C01-D03,20015,0.07,USD
B000201,C01,2025-12,Google Cloud,T12,M17,CC-C01-D04,642511,2.16,USD
B000202,C01,2025-12,Google Cloud,T12,M17,CC-C01-D05,3878339,11.6,USD
B000203,C01,2025-12,Google Cloud,T12,M17,CC-C01-D06,92225,0.18,USD
B000204,C01,2025-12,Google Cloud,T12,M17,CC-C01-D08,101773,0.15,USD
B000205,C01,2025-12,Google Cloud,T12,M17,CC-C01-D09,229465,0.7,USD
B000206,C01,2025-12,Google Cloud,T12,M17,CC-C01-D10,241693,0.34,USD
B000207,C01,2025-12,Google Cloud,T12,M17,,395555,1.03,USD
B000208,C01,2025-12,Google Cloud,T12,M18,CC-C01-D01,551129,0.42,USD
B000209,C01,2025-12,Google Cloud,T12,M18,CC-C01-D02,89627,0.12,USD
B000210,C01,2025-12,Google Cloud,T12,M18,CC-C01-D05,2263340,2.61,USD
B000211,C01,2025-12,Google Cloud,T12,M18,CC-C01-D06,74221,0.09,USD
B000212,C01,2025-12,Google Cloud,T12,M18,CC-C01-D08,265526,0.27,USD
B000213,C01,2025-12,Google Cloud,T12,M18,CC-C01-D09,63379,0.05,USD
B000214,C01,2025-12,Google Cloud,T12,M18,CC-C01-D10,7515,0.0,USD
B000215,C01,2025-12,OpenAI,T13,M19,CC-C01-D01,542398,6.84,USD
B000216,C01,2025-12,OpenAI,T13,M19,CC-C01-D02,320882,2.73,USD
B000217,C01,2025-12,OpenAI,T13,M19,CC-C01-D03,1061632,11.44,USD
B000218,C01,2025-12,OpenAI,T13,M19,CC-C01-D05,4247470,40.12,USD
B000219,C01,2025-12,OpenAI,T13,M19,CC-C01-D06,217034,2.29,USD
B000220,C01,2025-12,OpenAI,T13,M19,CC-C01-D07,346648,3.29,USD
B000221,C01,2025-12,OpenAI,T13,M19,CC-C01-D08,600831,5.98,USD
B000222,C01,2025-12,OpenAI,T13,M19,CC-C01-D09,903496,9.99,USD
B000223,C01,2025-12,OpenAI,T13,M19,CC-C01-D10,758236,7.01,USD
B000224,C01,2025-12,OpenAI,T13,M20,CC-C01-D01,1355419,0.51,USD
B000225,C01,2025-12,OpenAI,T13,M20,CC-C01-D05,3479091,1.26,USD
B000226,C01,2025-12,OpenAI,T13,M20,CC-C01-D06,164797,0.09,USD
B000227,C01,2025-12,OpenAI,T13,M20,CC-C01-D07,286478,0.12,USD
B000228,C01,2025-12,OpenAI,T13,M20,CC-C01-D08,476399,0.17,USD
B000229,C01,2025-12,OpenAI,T13,M20,CC-C01-D09,429178,0.12,USD
B000230,C01,2025-12,OpenAI,T13,M21,CC-C01-D01,449892,0.67,USD
B000231,C01,2025-12,OpenAI,T13,M21,CC-C01-D04,352355,0.23,USD
B000232,C01,2025-12,OpenAI,T13,M21,CC-C01-D05,1993402,1.63,USD
B000233,C01,2026-01,Google Cloud,T12,M17,CC-C01-D01,1610570,3.85,USD
B000234,C01,2026-01,Google Cloud,T12,M17,CC-C01-D02,751541,2.79,USD
B000235,C01,2026-01,Google Cloud,T12,M17,CC-C01-D03,220953,0.3,USD
B000236,C01,2026-01,Google Cloud,T12,M17,CC-C01-D04,336854,0.93,USD
B000237,C01,2026-01,Google Cloud,T12,M17,CC-C01-D05,6273737,19.88,USD
B000238,C01,2026-01,Google Cloud,T12,M17,CC-C01-D06,973263,2.49,USD
B000239,C01,2026-01,Google Cloud,T12,M17,CC-C01-D07,475507,2.23,USD
B000240,C01,2026-01,Google Cloud,T12,M17,CC-C01-D08,1203504,3.55,USD
B000241,C01,2026-01,Google Cloud,T12,M17,CC-C01-D09,149217,0.65,USD
B000242,C01,2026-01,Google Cloud,T12,M17,CC-C01-D10,113060,0.21,USD
B000243,C01,2026-01,Google Cloud,T12,M18,CC-C01-D01,1430339,1.5,USD
B000244,C01,2026-01,Google Cloud,T12,M18,CC-C01-D03,6654,0.0,USD
B000245,C01,2026-01,Google Cloud,T12,M18,CC-C01-D04,328905,0.32,USD
B000246,C01,2026-01,Google Cloud,T12,M18,CC-C01-D05,4142628,3.88,USD
B000247,C01,2026-01,Google Cloud,T12,M18,CC-C01-D06,717357,0.79,USD
B000248,C01,2026-01,Google Cloud,T12,M18,CC-C01-D08,459149,0.46,USD
B000249,C01,2026-01,Google Cloud,T12,M18,CC-C01-D10,121842,0.11,USD
B000250,C01,2026-01,Google Cloud,T12,M18,,47256,0.05,USD
B000251,C01,2026-01,OpenAI,T13,M19,CC-C01-D01,2859181,28.42,USD
B000252,C01,2026-01,OpenAI,T13,M19,CC-C01-D04,945261,9.55,USD
B000253,C01,2026-01,OpenAI,T13,M19,CC-C01-D05,3156092,28.51,USD
B000254,C01,2026-01,OpenAI,T13,M19,CC-C01-D06,749899,7.34,USD
B000255,C01,2026-01,OpenAI,T13,M19,CC-C01-D07,571066,5.67,USD
B000256,C01,2026-01,OpenAI,T13,M19,CC-C01-D08,2107853,23.28,USD
B000257,C01,2026-01,OpenAI,T13,M19,CC-C01-D10,517355,4.2,USD
B000258,C01,2026-01,OpenAI,T13,M20,CC-C01-D01,723408,0.24,USD
B000259,C01,2026-01,OpenAI,T13,M20,CC-C01-D05,4298702,1.68,USD
B000260,C01,2026-01,OpenAI,T13,M20,CC-C01-D06,427215,0.15,USD
B000261,C01,2026-01,OpenAI,T13,M20,CC-C01-D10,324921,0.11,USD
B000262,C01,2026-01,OpenAI,T13,M21,CC-C01-D02,91091,0.08,USD
B000263,C01,2026-01,OpenAI,T13,M21,CC-C01-D04,89216,0.05,USD
B000264,C01,2026-01,OpenAI,T13,M21,CC-C01-D05,907716,0.84,USD
B000265,C01,2026-01,OpenAI,T13,M21,CC-C01-D08,477855,0.28,USD
B000266,C01,2026-02,Google Cloud,T12,M17,CC-C01-D01,3841972,11.19,USD
B000267,C01,2026-02,Google Cloud,T12,M17,CC-C01-D02,762150,2.33,USD
B000268,C01,2026-02,Google Cloud,T12,M17,CC-C01-D04,804385,2.3,USD
B000269,C01,2026-02,Google Cloud,T12,M17,CC-C01-D05,6565497,20.05,USD
B000270,C01,2026-02,Google Cloud,T12,M17,CC-C01-D06,2388272,7.58,USD
B000271,C01,2026-02,Google Cloud,T12,M17,CC-C01-D07,245080,0.66,USD
B000272,C01,2026-02,Google Cloud,T12,M17,CC-C01-D08,608014,1.64,USD
B000273,C01,2026-02,Google Cloud,T12,M17,CC-C01-D09,577804,1.59,USD
B000274,C01,2026-02,Google Cloud,T12,M17,CC-C01-D10,552208,1.57,USD
B000275,C01,2026-02,Google Cloud,T12,M18,CC-C01-D01,1309248,1.13,USD
B000276,C01,2026-02,Google Cloud,T12,M18,CC-C01-D02,749695,0.55,USD
B000277,C01,2026-02,Google Cloud,T12,M18,CC-C01-D05,3372504,3.14,USD
B000278,C01,2026-02,Google Cloud,T12,M18,CC-C01-D06,470608,0.6,USD
B000279,C01,2026-02,Google Cloud,T12,M18,CC-C01-D07,385144,0.47,USD
B000280,C01,2026-02,Google Cloud,T12,M18,CC-C01-D08,871657,0.8,USD
B000281,C01,2026-02,Google Cloud,T12,M18,CC-C01-D10,7936,0.01,USD
B000282,C01,2026-02,OpenAI,T13,M19,CC-C01-D01,459930,5.54,USD
B000283,C01,2026-02,OpenAI,T13,M19,CC-C01-D02,421676,5.3,USD
B000284,C01,2026-02,OpenAI,T13,M19,CC-C01-D03,595348,7.37,USD
B000285,C01,2026-02,OpenAI,T13,M19,CC-C01-D04,1094700,11.65,USD
B000286,C01,2026-02,OpenAI,T13,M19,CC-C01-D05,11212157,115.43,USD
B000287,C01,2026-02,OpenAI,T13,M19,CC-C01-D06,1950108,21.5,USD
B000288,C01,2026-02,OpenAI,T13,M19,CC-C01-D07,259056,2.82,USD
B000289,C01,2026-02,OpenAI,T13,M19,CC-C01-D08,957041,8.24,USD
B000290,C01,2026-02,OpenAI,T13,M19,CC-C01-D10,123994,0.98,USD
B000291,C01,2026-02,OpenAI,T13,M19,,1112706,13.38,USD
B000292,C01,2026-02,OpenAI,T13,M20,CC-C01-D01,518944,0.15,USD
B000293,C01,2026-02,OpenAI,T13,M20,CC-C01-D02,50094,0.02,USD
B000294,C01,2026-02,OpenAI,T13,M20,CC-C01-D03,254962,0.09,USD
B000295,C01,2026-02,OpenAI,T13,M20,CC-C01-D04,506531,0.18,USD
B000296,C01,2026-02,OpenAI,T13,M20,CC-C01-D05,6542439,2.24,USD
B000297,C01,2026-02,OpenAI,T13,M20,CC-C01-D06,1566069,0.51,USD
B000298,C01,2026-02,OpenAI,T13,M20,CC-C01-D07,121017,0.06,USD
B000299,C01,2026-02,OpenAI,T13,M20,CC-C01-D08,873588,0.3,USD
B000300,C01,2026-02,OpenAI,T13,M20,CC-C01-D10,681626,0.12,USD
B000301,C01,2026-02,OpenAI,T13,M20,,50937,0.01,USD
B000302,C01,2026-02,OpenAI,T13,M21,CC-C01-D01,1115351,0.99,USD
B000303,C01,2026-02,OpenAI,T13,M21,CC-C01-D02,444895,0.4,USD
B000304,C01,2026-02,OpenAI,T13,M21,CC-C01-D05,2025709,2.18,USD
B000305,C01,2026-02,OpenAI,T13,M21,CC-C01-D06,113141,0.1,USD
B000306,C01,2026-02,OpenAI,T13,M21,CC-C01-D08,847002,0.73,USD
B000307,C01,2026-03,Google Cloud,T12,M17,CC-C01-D01,746929,2.71,USD
B000308,C01,2026-03,Google Cloud,T12,M17,CC-C01-D02,884563,2.65,USD
B000309,C01,2026-03,Google Cloud,T12,M17,CC-C01-D03,64976,0.26,USD
B000310,C01,2026-03,Google Cloud,T12,M17,CC-C01-D04,1413828,3.11,USD
B000311,C01,2026-03,Google Cloud,T12,M17,CC-C01-D05,5857651,16.37,USD
B000312,C01,2026-03,Google Cloud,T12,M17,CC-C01-D06,1787219,4.98,USD
B000313,C01,2026-03,Google Cloud,T12,M17,CC-C01-D07,176965,0.47,USD
B000314,C01,2026-03,Google Cloud,T12,M17,CC-C01-D08,1019840,2.87,USD
B000315,C01,2026-03,Google Cloud,T12,M17,CC-C01-D09,384235,1.11,USD
B000316,C01,2026-03,Google Cloud,T12,M17,CC-C01-D10,385058,0.57,USD
B000317,C01,2026-03,Google Cloud,T12,M17,,512474,1.87,USD
B000318,C01,2026-03,Google Cloud,T12,M18,CC-C01-D01,1760449,1.7,USD
B000319,C01,2026-03,Google Cloud,T12,M18,CC-C01-D02,342986,0.35,USD
B000320,C01,2026-03,Google Cloud,T12,M18,CC-C01-D03,232796,0.33,USD
