issue_id,project_id,employee_id,issue_type,priority,created_at,closed_at,status
ISS-C01-P01-000052,C01-P01,C01-E0189,Debito Tecnico,Media,2025-07-06 11:20:57,,Em Andamento
ISS-C01-P01-000053,C01-P01,C01-E0222,Feature,Media,2025-07-14 19:39:40,2025-08-04 19:39:40,Fechado
ISS-C01-P01-000054,C01-P01,C01-E0153,Bug,Media,2025-07-25 16:01:32,,Aberto
ISS-C01-P01-000055,C01-P01,C01-E0296,Bug,Baixa,2025-07-04 09:59:32,,Aberto
ISS-C01-P01-000056,C01-P01,C01-E0005,Bug,Media,2025-07-09 14:02:18,2025-08-22 14:02:18,Fechado
ISS-C01-P01-000057,C01-P01,C01-E0245,Feature,Media,2025-07-16 07:06:22,2025-08-03 07:06:22,Fechado
ISS-C01-P01-000058,C01-P01,C01-E0014,Bug,Alta,2025-07-13 12:34:18,2025-07-19 12:34:18,Fechado
ISS-C01-P01-000059,C01-P01,C01-E0321,Bug,Media,2025-07-22 09:02:08,2025-08-14 09:02:08,Fechado
ISS-C01-P01-000060,C01-P01,C01-E0159,Bug,Media,2025-07-03 19:27:28,,Em Andamento
ISS-C01-P01-000061,C01-P01,C01-E0130,Bug,Media,2025-08-05 11:03:07,,Em Andamento
ISS-C01-P01-000062,C01-P01,C01-E0106,Feature,Media,2025-08-03 15:54:47,,Aberto
ISS-C01-P01-000063,C01-P01,C01-E0349,Feature,Alta,2025-08-28 17:26:41,2025-09-26 17:26:41,Fechado
ISS-C01-P01-000064,C01-P01,C01-E0006,Debito Tecnico,Baixa,2025-08-27 08:18:29,2025-09-24 08:18:29,Fechado
ISS-C01-P01-000065,C01-P01,C01-E0006,Feature,Alta,2025-08-12 11:26:26,2025-09-22 11:26:26,Fechado
ISS-C01-P01-000066,C01-P01,C01-E0301,Feature,Baixa,2025-08-03 08:09:08,2025-09-04 08:09:08,Fechado
ISS-C01-P01-000067,C01-P01,C01-E0073,Feature,Media,2025-08-12 11:41:40,2025-09-11 11:41:40,Fechado
ISS-C01-P01-000068,C01-P01,C01-E0082,Bug,Critica,2025-08-17 15:08:06,2025-08-26 15:08:06,Fechado
ISS-C01-P01-000069,C01-P01,C01-E0330,Debito Tecnico,Media,2025-08-24 18:37:26,2025-09-27 18:37:26,Fechado
ISS-C01-P01-000070,C01-P01,C01-E0321,Feature,Alta,2025-08-17 15:02:13,,Em Andamento
ISS-C01-P01-000071,C01-P01,C01-E0335,Chore,Media,2025-08-10 20:58:17,2025-08-16 20:58:17,Fechado
ISS-C01-P01-000072,C01-P01,C01-E0082,Debito Tecnico,Alta,2025-08-08 18:30:33,,Aberto
ISS-C01-P01-000073,C01-P01,C01-E0289,Feature,Alta,2025-08-27 17:26:48,,Aberto
ISS-C01-P01-000074,C01-P01,C01-E0254,Feature,Alta,2025-08-29 16:13:49,,Aberto
ISS-C01-P01-000075,C01-P01,C01-E0343,Debito Tecnico,Baixa,2025-08-03 15:50:15,2025-09-16 15:50:15,Fechado
ISS-C01-P01-000076,C01-P01,C01-E0331,Feature,Baixa,2025-08-02 16:33:09,,Aberto
ISS-C01-P01-000077,C01-P01,C01-E0282,Feature,Alta,2025-08-20 13:26:51,2025-09-19 13:26:51,Fechado
ISS-C01-P01-000078,C01-P01,C01-E0329,Feature,Media,2025-08-23 12:46:18,2025-09-16 12:46:18,Fechado
ISS-C01-P01-000079,C01-P01,C01-E0048,Chore,Media,2025-08-18 16:01:24,,Em Andamento
ISS-C01-P01-000080,C01-P01,C01-E0234,Bug,Media,2025-08-13 12:28:56,2025-09-03 12:28:56,Fechado
ISS-C01-P01-000081,C01-P01,C01-E0045,Feature,Baixa,2025-08-30 14:09:04,,Aberto
ISS-C01-P01-000082,C01-P01,C01-E0015,Feature,Alta,2025-08-02 08:28:18,2025-08-12 08:28:18,Fechado
ISS-C01-P01-000083,C01-P01,C01-E0174,Feature,Alta,2025-08-18 13:17:42,,Aberto
ISS-C01-P01-000084,C01-P01,C01-E0176,Debito Tecnico,Baixa,2025-08-20 07:22:34,2025-08-30 07:22:34,Fechado
ISS-C01-P01-000085,C01-P01,C01-E0294,Bug,Media,2025-08-20 09:47:01,2025-09-03 09:47:01,Fechado
ISS-C01-P01-000086,C01-P01,C01-E0247,Feature,Media,2025-08-23 20:56:14,2025-09-02 20:56:14,Fechado
ISS-C01-P01-000087,C01-P01,C01-E0210,Feature,Media,2025-08-29 10:30:42,2025-09-20 10:30:42,Fechado
ISS-C01-P01-000088,C01-P01,C01-E0181,Bug,Media,2025-08-12 11:04:44,,Aberto
ISS-C01-P01-000089,C01-P01,C01-E0030,Feature,Critica,2025-08-02 10:54:02,2025-08-12 10:54:02,Fechado
ISS-C01-P01-000090,C01-P01,C01-E0235,Bug,Baixa,2025-08-11 19:10:27,,Aberto
ISS-C01-P01-000091,C01-P01,C01-E0357,Bug,Baixa,2025-08-04 08:55:15,2025-08-08 08:55:15,Fechado
ISS-C01-P01-000092,C01-P01,C01-E0340,Feature,Media,2025-08-26 15:29:48,2025-09-05 15:29:48,Fechado
ISS-C01-P01-000093,C01-P01,C01-E0057,Bug,Media,2025-08-08 15:51:37,,Em Andamento
ISS-C01-P01-000094,C01-P01,C01-E0233,Feature,Media,2025-08-31 15:59:12,2025-09-05 15:59:12,Fechado
ISS-C01-P01-000095,C01-P01,C01-E0185,Debito Tecnico,Media,2025-08-28 09:17:00,2025-10-07 09:17:00,Fechado
ISS-C01-P01-000096,C01-P01,C01-E0055,Bug,Alta,2025-08-25 13:19:44,2025-10-04 13:19:44,Fechado
ISS-C01-P01-000097,C01-P01,C01-E0132,Chore,Media,2025-08-27 11:55:08,,Aberto
ISS-C01-P01-000098,C01-P01,C01-E0296,Feature,Media,2025-08-07 20:14:43,2025-08-19 20:14:43,Fechado
ISS-C01-P01-000099,C01-P01,C01-E0059,Bug,Media,2025-08-29 09:52:05,,Aberto
ISS-C01-P01-000100,C01-P01,C01-E0235,Bug,Media,2025-08-31 16:59:07,2025-09-06 16:59:07,Fechado
ISS-C01-P01-000101,C01-P01,C01-E0291,Bug,Critica,2025-08-10 07:22:21,2025-09-06 07:22:21,Fechado
ISS-C01-P01-000102,C01-P01,C01-E0028,Debito Tecnico,Alta,2025-08-25 09:20:54,2025-09-10 09:20:54,Fechado
ISS-C01-P01-000103,C01-P01,C01-E0251,Feature,Media,2025-08-18 12:57:47,2025-08-27 12:57:47,Fechado
ISS-C01-P01-000104,C01-P01,C01-E0310,Feature,Media,2025-09-26 10:58:46,,Em Andamento
ISS-C01-P01-000105,C01-P01,C01-E0022,Debito Tecnico,Baixa,2025-09-08 07:28:50,,Em Andamento
ISS-C01-P01-000106,C01-P01,C01-E0050,Debito Tecnico,Media,2025-09-22 17:23:21,2025-10-09 17:23:21,Fechado
ISS-C01-P01-000107,C01-P01,C01-E0285,Bug,Baixa,2025-09-14 15:32:40,2025-10-10 15:32:40,Fechado
ISS-C01-P01-000108,C01-P01,C01-E0021,Bug,Baixa,2025-09-07 10:58:39,,Em Andamento
ISS-C01-P01-000109,C01-P01,C01-E0149,Bug,Baixa,2025-09-23 09:11:43,,Em Andamento
ISS-C01-P01-000110,C01-P01,C01-E0165,Feature,Baixa,2025-09-08 07:01:19,2025-09-15 07:01:19,Fechado
ISS-C01-P01-000111,C01-P01,C01-E0181,Feature,Alta,2025-09-13 21:37:37,2025-09-21 21:37:37,Fechado
ISS-C01-P01-000112,C01-P01,C01-E0154,Feature,Baixa,2025-09-13 15:28:36,2025-10-11 15:28:36,Fechado
ISS-C01-P01-000113,C01-P01,C01-E0094,Bug,Critica,2025-09-19 11:03:12,2025-11-01 11:03:12,Fechado
ISS-C01-P01-000114,C01-P01,C01-E0150,Feature,Baixa,2025-09-04 21:47:10,2025-09-30 21:47:10,Fechado
ISS-C01-P01-000115,C01-P01,C01-E0348,Bug,Baixa,2025-09-20 12:08:47,,Aberto
ISS-C01-P01-000116,C01-P01,C01-E0009,Bug,Alta,2025-09-05 15:33:52,,Aberto
ISS-C01-P01-000117,C01-P01,C01-E0264,Bug,Alta,2025-09-08 21:12:33,,Em Andamento
ISS-C01-P01-000118,C01-P01,C01-E0351,Debito Tecnico,Media,2025-09-03 10:48:50,2025-09-06 10:48:50,Fechado
ISS-C01-P01-000119,C01-P01,C01-E0361,Feature,Media,2025-09-19 09:50:53,2025-09-21 09:50:53,Fechado
ISS-C01-P01-000120,C01-P01,C01-E0190,Bug,Baixa,2025-09-27 14:37:38,2025-10-06 14:37:38,Fechado
ISS-C01-P01-000121,C01-P01,C01-E0097,Feature,Media,2025-09-01 21:31:50,,Em Andamento
ISS-C01-P01-000122,C01-P01,C01-E0038,Chore,Alta,2025-09-06 20:19:45,2025-09-18 20:19:45,Fechado
ISS-C01-P01-000123,C01-P01,C01-E0111,Bug,Critica,2025-09-09 19:56:27,2025-10-23 19:56:27,Fechado
ISS-C01-P01-000124,C01-P01,C01-E0295,Bug,Media,2025-09-24 21:46:45,2025-09-28 21:46:45,Fechado
ISS-C01-P01-000125,C01-P01,C01-E0033,Feature,Baixa,2025-09-16 13:46:09,,Aberto
ISS-C01-P01-000126,C01-P01,C01-E0090,Feature,Media,2025-09-05 21:53:57,,Aberto
ISS-C01-P01-000127,C01-P01,C01-E0016,Feature,Critica,2025-09-20 18:16:29,,Em Andamento
ISS-C01-P01-000128,C01-P01,C01-E0106,Feature,Baixa,2025-09-19 18:14:08,,Aberto
ISS-C01-P01-000129,C01-P01,C01-E0296,Chore,Media,2025-09-03 19:54:00,2025-09-17 19:54:00,Fechado
ISS-C01-P01-000130,C01-P01,C01-E0255,Feature,Media,2025-09-09 18:48:38,,Aberto
ISS-C01-P01-000131,C01-P01,C01-E0185,Bug,Alta,2025-09-15 18:49:33,2025-09-16 18:49:33,Fechado
ISS-C01-P01-000132,C01-P01,C01-E0357,Bug,Baixa,2025-09-21 14:39:41,,Em Andamento
ISS-C01-P01-000133,C01-P01,C01-E0289,Debito Tecnico,Baixa,2025-09-22 18:44:02,,Aberto
ISS-C01-P01-000134,C01-P01,C01-E0327,Feature,Media,2025-09-24 12:36:32,2025-10-08 12:36:32,Fechado
ISS-C01-P01-000135,C01-P01,C01-E0130,Bug,Media,2025-09-02 15:21:16,,Aberto
ISS-C01-P01-000136,C01-P01,C01-E0176,Feature,Alta,2025-09-14 17:48:27,2025-10-20 17:48:27,Fechado
ISS-C01-P01-000137,C01-P01,C01-E0182,Bug,Media,2025-09-06 12:34:35,,Em Andamento
ISS-C01-P01-000138,C01-P01,C01-E0206,Debito Tecnico,Baixa,2025-09-04 11:58:03,2025-10-04 11:58:03,Fechado
ISS-C01-P01-000139,C01-P01,C01-E0148,Feature,Baixa,2025-09-07 16:30:01,2025-09-15 16:30:01,Fechado
ISS-C01-P01-000140,C01-P01,C01-E0173,Bug,Media,2025-09-25 08:19:35,,Aberto
ISS-C01-P01-000141,C01-P01,C01-E0142,Bug,Media,2025-10-04 21:03:43,2025-11-09 21:03:43,Fechado
ISS-C01-P01-000142,C01-P01,C01-E0300,Feature,Baixa,2025-10-27 18:17:33,2025-11-28 18:17:33,Fechado
ISS-C01-P01-000143,C01-P01,C01-E0001,Bug,Baixa,2025-10-22 10:54:38,2025-11-06 10:54:38,Fechado
ISS-C01-P01-000144,C01-P01,C01-E0028,Bug,Media,2025-10-28 20:41:04,,Em Andamento
ISS-C01-P01-000145,C01-P01,C01-E0091,Debito Tecnico,Media,2025-10-20 17:15:58,,Em Andamento
ISS-C01-P01-000146,C01-P01,C01-E0149,Bug,Media,2025-10-01 10:36:59,2025-11-15 10:36:59,Fechado
ISS-C01-P01-000147,C01-P01,C01-E0363,Bug,Media,2025-10-20 16:45:45,2025-11-11 16:45:45,Fechado
ISS-C01-P01-000148,C01-P01,C01-E0100,Feature,Media,2025-10-26 17:30:42,2025-12-07 17:30:42,Fechado
ISS-C01-P01-000149,C01-P01,C01-E0139,Debito Tecnico,Media,2025-10-17 08:04:13,2025-11-09 08:04:13,Fechado
ISS-C01-P01-000150,C01-P01,C01-E0023,Feature,Media,2025-10-06 19:11:50,2025-10-18 19:11:50,Fechado
ISS-C01-P01-000151,C01-P01,C01-E0176,Bug,Alta,2025-10-11 09:01:27,2025-10-30 09:01:27,Fechado
ISS-C01-P01-000152,C01-P01,C01-E0061,Feature,Media,2025-10-05 11:02:48,,Aberto
ISS-C01-P01-000153,C01-P01,C01-E0173,Feature,Alta,2025-10-01 10:10:05,2025-10-13 10:10:05,Fechado
ISS-C01-P01-000154,C01-P01,C01-E0107,Feature,Baixa,2025-10-12 07:25:27,2025-10-20 07:25:27,Fechado
ISS-C01-P01-000155,C01-P01,C01-E0109,Bug,Media,2025-10-01 08:02:28,2025-11-13 08:02:28,Fechado
ISS-C01-P01-000156,C01-P01,C01-E0191,Debito Tecnico,Baixa,2025-10-31 16:15:52,2025-11-13 16:15:52,Fechado
ISS-C01-P01-000157,C01-P01,C01-E0350,Feature,Baixa,2025-10-05 15:43:43,2025-10-28 15:43:43,Fechado
ISS-C01-P01-000158,C01-P01,C01-E0327,Bug,Media,2025-10-20 19:27:44,,Em Andamento
ISS-C01-P01-000159,C01-P01,C01-E0057,Bug,Media,2025-10-18 16:45:55,,Em Andamento
ISS-C01-P01-000160,C01-P01,C01-E0038,Bug,Media,2025-10-24 09:31:37,2025-12-02 09:31:37,Fechado
ISS-C01-P01-000161,C01-P01,C01-E0255,Feature,Baixa,2025-10-27 12:21:19,2025-12-01 12:21:19,Fechado
ISS-C01-P01-000162,C01-P01,C01-E0041,Debito Tecnico,Critica,2025-10-18 18:03:28,,Em Andamento
ISS-C01-P01-000163,C01-P01,C01-E0244,Feature,Media,2025-10-03 15:36:27,2025-10-17 15:36:27,Fechado
ISS-C01-P01-000164,C01-P01,C01-E0180,Debito Tecnico,Alta,2025-10-19 14:01:47,,Em Andamento
ISS-C01-P01-000165,C01-P01,C01-E0289,Feature,Media,2025-10-20 15:01:10,,Em Andamento
ISS-C01-P01-000166,C01-P01,C01-E0240,Debito Tecnico,Alta,2025-10-13 15:07:12,2025-10-16 15:07:12,Fechado
ISS-C01-P01-000167,C01-P01,C01-E0324,Bug,Critica,2025-10-20 14:06:53,2025-10-29 14:06:53,Fechado
ISS-C01-P01-000168,C01-P01,C01-E0096,Bug,Media,2025-10-12 09:39:15,,Em Andamento
ISS-C01-P01-000169,C01-P01,C01-E0313,Debito Tecnico,Media,2025-10-20 11:24:16,,Em Andamento
ISS-C01-P01-000170,C01-P01,C01-E0259,Debito Tecnico,Media,2025-10-15 08:06:19,2025-11-27 08:06:19,Fechado
ISS-C01-P01-000171,C01-P01,C01-E0006,Bug,Media,2025-10-09 09:30:51,,Em Andamento
ISS-C01-P01-000172,C01-P01,C01-E0355,Chore,Media,2025-10-20 21:56:00,2025-11-02 21:56:00,Fechado
ISS-C01-P01-000173,C01-P01,C01-E0124,Feature,Media,2025-10-06 09:36:44,,Em Andamento
ISS-C01-P01-000174,C01-P01,C01-E0345,Bug,Baixa,2025-10-15 14:06:22,2025-10-18 14:06:22,Fechado
ISS-C01-P01-000175,C01-P01,C01-E0190,Feature,Baixa,2025-10-18 10:59:38,2025-11-30 10:59:38,Fechado
ISS-C01-P01-000176,C01-P01,C01-E0301,Debito Tecnico,Baixa,2025-10-18 19:18:04,2025-11-10 19:18:04,Fechado
ISS-C01-P01-000177,C01-P01,C01-E0064,Chore,Baixa,2025-10-21 11:58:25,,Aberto
ISS-C01-P01-000178,C01-P01,C01-E0048,Debito Tecnico,Baixa,2025-10-10 11:57:07,2025-10-16 11:57:07,Fechado
ISS-C01-P01-000179,C01-P01,C01-E0307,Chore,Baixa,2025-11-22 17:52:07,2026-01-06 17:52:07,Fechado
ISS-C01-P01-000180,C01-P01,C01-E0110,Bug,Baixa,2025-11-21 10:37:07,2025-12-18 10:37:07,Fechado
ISS-C01-P01-000181,C01-P01,C01-E0084,Debito Tecnico,Baixa,2025-11-02 09:58:10,2025-11-07 09:58:10,Fechado
ISS-C01-P01-000182,C01-P01,C01-E0125,Bug,Media,2025-11-29 10:01:47,,Em Andamento
ISS-C01-P01-000183,C01-P01,C01-E0320,Bug,Baixa,2025-11-02 15:18:17,2025-11-06 15:18:17,Fechado
ISS-C01-P01-000184,C01-P01,C01-E0283,Feature,Critica,2025-11-23 09:30:14,2026-01-04 09:30:14,Fechado
ISS-C01-P01-000185,C01-P01,C01-E0350,Debito Tecnico,Media,2025-11-17 19:03:03,,Em Andamento
ISS-C01-P01-000186,C01-P01,C01-E0252,Bug,Media,2025-11-14 12:52:07,,Em Andamento
ISS-C01-P01-000187,C01-P01,C01-E0080,Feature,Media,2025-11-14 09:07:59,2025-12-16 09:07:59,Fechado
ISS-C01-P01-000188,C01-P01,C01-E0080,Bug,Baixa,2025-11-16 13:06:26,,Em Andamento
ISS-C01-P01-000189,C01-P01,C01-E0182,Bug,Baixa,2025-11-06 18:06:14,2025-12-08 18:06:14,Fechado
ISS-C01-P01-000190,C01-P01,C01-E0358,Feature,Alta,2025-11-08 10:42:26,2025-11-19 10:42:26,Fechado
ISS-C01-P01-000191,C01-P01,C01-E0351,Debito Tecnico,Media,2025-11-30 14:06:30,2025-12-10 14:06:30,Fechado
ISS-C01-P01-000192,C01-P01,C01-E0078,Bug,Baixa,2025-11-09 13:24:43,,Aberto
ISS-C01-P01-000193,C01-P01,C01-E0109,Chore,Baixa,2025-11-09 12:47:09,2025-12-06 12:47:09,Fechado
ISS-C01-P01-000194,C01-P01,C01-E0061,Debito Tecnico,Media,2025-11-03 21:49:48,,Em Andamento
ISS-C01-P01-000195,C01-P01,C01-E0254,Bug,Media,2025-11-14 17:57:34,2025-11-24 17:57:34,Fechado
ISS-C01-P01-000196,C01-P01,C01-E0348,Feature,Baixa,2025-11-21 16:48:31,2026-01-01 16:48:31,Fechado
ISS-C01-P01-000197,C01-P01,C01-E0142,Bug,Critica,2025-11-27 17:43:26,2025-12-23 17:43:26,Fechado
ISS-C01-P01-000198,C01-P01,C01-E0303,Bug,Critica,2025-11-11 09:49:41,2025-11-26 09:49:41,Fechado
ISS-C01-P01-000199,C01-P01,C01-E0080,Bug,Media,2025-11-25 19:36:27,2025-12-19 19:36:27,Fechado
ISS-C01-P01-000200,C01-P01,C01-E0342,Bug,Media,2025-11-11 18:24:36,2025-11-27 18:24:36,Fechado
ISS-C01-P01-000201,C01-P01,C01-E0247,Bug,Media,2025-11-25 19:59:17,,Em Andamento
ISS-C01-P01-000202,C01-P01,C01-E0287,Debito Tecnico,Media,2025-11-30 07:17:36,2025-12-09 07:17:36,Fechado
ISS-C01-P01-000203,C01-P01,C01-E0214,Bug,Media,2025-11-11 13:43:45,2025-11-14 13:43:45,Fechado
ISS-C01-P01-000204,C01-P01,C01-E0084,Feature,Baixa,2025-11-20 08:40:42,,Em Andamento
ISS-C01-P01-000205,C01-P01,C01-E0065,Bug,Baixa,2025-11-06 08:39:58,2025-12-03 08:39:58,Fechado
ISS-C01-P01-000206,C01-P01,C01-E0329,Chore,Baixa,2025-11-05 13:05:48,,Aberto
ISS-C01-P01-000207,C01-P01,C01-E0091,Debito Tecnico,Media,2025-11-02 08:22:54,,Em Andamento
ISS-C01-P01-000208,C01-P01,C01-E0165,Feature,Baixa,2025-11-18 18:24:32,,Em Andamento
ISS-C01-P01-000209,C01-P01,C01-E0110,Feature,Baixa,2025-11-02 16:55:53,2025-11-11 16:55:53,Fechado
ISS-C01-P01-000210,C01-P01,C01-E0238,Debito Tecnico,Media,2025-11-06 21:22:33,2025-11-15 21:22:33,Fechado
ISS-C01-P01-000211,C01-P01,C01-E0341,Feature,Alta,2025-11-09 13:21:53,2025-11-26 13:21:53,Fechado
ISS-C01-P01-000212,C01-P01,C01-E0018,Bug,Critica,2025-11-07 21:16:15,,Em Andamento
ISS-C01-P01-000213,C01-P01,C01-E0317,Bug,Media,2025-11-28 16:25:03,2026-01-11 16:25:03,Fechado
ISS-C01-P01-000214,C01-P01,C01-E0178,Bug,Baixa,2025-11-22 17:04:51,,Em Andamento
ISS-C01-P01-000215,C01-P01,C01-E0066,Debito Tecnico,Media,2025-11-14 21:26:38,2025-11-22 21:26:38,Fechado
ISS-C01-P01-000216,C01-P01,C01-E0286,Bug,Baixa,2025-12-06 12:13:07,2026-01-18 12:13:07,Fechado
ISS-C01-P01-000217,C01-P01,C01-E0094,Debito Tecnico,Alta,2025-12-05 17:43:01,2025-12-12 17:43:01,Fechado
ISS-C01-P01-000218,C01-P01,C01-E0298,Feature,Alta,2025-12-26 19:25:36,2026-01-06 19:25:36,Fechado
ISS-C01-P01-000219,C01-P01,C01-E0029,Chore,Media,2025-12-02 08:25:14,,Aberto
ISS-C01-P01-000220,C01-P01,C01-E0290,Debito Tecnico,Alta,2025-12-03 12:51:57,,Em Andamento
ISS-C01-P01-000221,C01-P01,C01-E0064,Bug,Baixa,2025-12-27 12:03:12,,Em Andamento
ISS-C01-P01-000222,C01-P01,C01-E0064,Feature,Baixa,2025-12-26 07:36:32,,Aberto
ISS-C01-P01-000223,C01-P01,C01-E0291,Chore,Alta,2025-12-26 21:01:12,,Aberto
ISS-C01-P01-000224,C01-P01,C01-E0226,Bug,Media,2025-12-23 18:58:33,2026-01-03 18:58:33,Fechado
ISS-C01-P01-000225,C01-P01,C01-E0091,Bug,Media,2025-12-20 21:55:14,,Aberto
ISS-C01-P01-000226,C01-P01,C01-E0028,Debito Tecnico,Media,2025-12-07 20:35:24,2025-12-24 20:35:24,Fechado
ISS-C01-P01-000227,C01-P01,C01-E0255,Feature,Baixa,2025-12-16 17:51:27,2026-01-03 17:51:27,Fechado
